#AfcsOn,AltAGL,AltB,AltGPS,AltMSL,AltMSL Lag Diff,amp1,BaroA,COM1,COM2,CRS,E1 CHT1,E1 EGT Variance,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,E1 FFlow,E1 MAP,E1 OilP,E1 OilT,E1 RPM,E2 CHT1,E2 EGT Variance,E2 EGT1,E2 EGT2,E2 EGT3,E2 EGT4,E2 FFlow,E2 MAP,E2 OilP,E2 OilT,E2 RPM,FQtyL,FQtyR,GndSpd,HCDI,HDG,HPLfd,HPLwas,IAS,LatAc,Latitude,Longitude,MagVar,NAV1,NAV2,NormAc,OAT,PichC,Pitch,Roll,RollC,TAS,Total Fuel,TRK,volt1,VPLwas,VSpd,VSpdG,WndDr,WndSpd
#bool,ft agl,ft Baro,ft wgs,ft msl,ft msl,amps,inch,MHz,MHz,deg,deg F,deg F,deg F,deg F,deg F,deg F,gph,Hg,psi,deg F,rpm,deg F,deg F,deg F,deg F,deg F,deg F,gph,Hg,psi,deg F,rpm,gals,gals,kt,fsd,deg,mt,mt,kt,G,degrees,degrees,deg,MHz,MHz,G,deg C,deg,deg,deg,deg,kt,gals,deg,volts,mt,fpm,fpm,deg,kt
0.0,0.0,812.8,748.0,835.8,-1.5,2.6,29.84,118.4,124.575,116.9,269.29,89.20000000000005,1029.25,1050.81,1117.23,1028.03,1.68,12.13,50.85,144.68,1053.2,238.54,126.77999999999997,962.08,986.15,954.96,1081.74,2.15,13.11,50.42,144.39,1007.0,48.1,54.0,0.0,NaN,358.0,61.5,NaN,0.0,0.0,47.9500885,-97.1727219,3.1,109.15,109.1,-0.0,24.2,NaN,0.83,-0.19,NaN,0.0,102.1,266.4,27.7,NaN,-15.15,0.0,NaN,NaN
0.0,0.0,812.8,747.4,835.2,-2.099999999999909,2.5,29.84,118.4,124.575,116.9,269.62,92.25,1031.17,1049.29,1120.7,1028.45,1.66,12.15,50.82,144.64,1051.5,238.94,121.65000000000009,960.34,988.39,956.27,1077.92,2.08,13.06,50.51,144.34,1012.6,48.16,54.0,0.0,NaN,357.9,61.0,NaN,0.0,0.0,47.9500885,-97.1727219,3.1,109.15,109.1,0.0,24.2,NaN,0.83,-0.19,NaN,0.0,102.16,266.4,27.7,NaN,-15.97,0.0,NaN,NaN
0.0,0.0,812.8,748.1,835.9,-1.5,2.6,29.84,118.4,124.575,116.9,269.95,94.01999999999998,1032.27,1047.81,1121.72,1027.7,1.63,12.14,50.93,144.65,1060.1,239.3,119.88999999999999,960.13,990.0,956.82,1076.71,2.06,13.06,50.52,144.3,1015.4,48.17,54.0,0.0,NaN,358.0,61.0,NaN,0.0,0.0,47.9500885,-97.1727295,3.1,109.15,109.1,0.0,24.2,NaN,0.82,-0.19,NaN,0.0,102.17,266.4,27.7,NaN,-16.0,0.0,NaN,NaN
0.0,0.0,812.8,748.2,836.0,-1.2000000000000455,2.5,29.84,118.4,124.575,116.9,270.24,94.47000000000003,1031.31,1047.9,1121.59,1027.12,1.71,12.15,50.96,144.58,1061.2,239.67,115.79999999999984,960.28,990.44,955.32,1071.12,2.09,12.99,50.65,144.27,1020.8,48.12,54.0,0.0,NaN,358.0,61.0,NaN,0.0,0.01,47.9500885,-97.1727295,3.1,109.15,109.1,0.01,24.2,NaN,0.8,-0.18,NaN,0.0,102.12,266.4,27.8,NaN,-6.79,0.0,NaN,NaN
0.0,0.0,812.8,748.2,836.0,-1.5,2.5,29.84,118.4,124.575,116.9,270.54,97.82999999999993,1032.3,1046.36,1124.23,1026.4,1.71,12.15,50.95,144.57,1057.5,240.01,112.60000000000002,959.64,988.18,954.42,1067.02,2.13,12.98,50.63,144.26,1016.4,48.14,54.0,0.0,NaN,358.0,61.0,NaN,0.0,0.01,47.9500885,-97.1727295,3.1,109.15,109.1,0.01,24.2,NaN,0.8,-0.19,NaN,0.0,102.14,266.4,27.7,NaN,-2.86,0.0,NaN,NaN
0.0,0.0,812.8,748.2,836.0,-0.7999999999999545,2.5,29.84,118.4,124.575,116.9,270.92,89.89999999999986,1031.64,1044.31,1119.62,1029.72,1.73,12.09,51.1,144.56,1063.7,240.4,105.58000000000004,957.66,987.34,956.91,1062.49,2.27,12.96,50.68,144.24,1023.5,48.13,54.0,0.0,NaN,358.0,61.0,NaN,0.0,0.01,47.9500885,-97.1727295,3.1,109.15,109.1,0.0,24.2,NaN,0.79,-0.2,NaN,0.0,102.13,266.4,27.7,NaN,-15.19,0.0,NaN,NaN
0.0,0.0,812.8,748.9,836.7,0.20000000000004547,2.6,29.84,118.4,124.575,116.9,271.23,84.05999999999995,1031.18,1044.61,1115.24,1032.22,1.71,12.1,51.02,144.5,1059.2,240.78,99.69000000000005,956.51,988.54,960.73,1056.2,2.28,12.97,50.66,144.22,1018.6,48.03,54.0,0.0,NaN,358.0,61.0,NaN,0.0,-0.0,47.9500885,-97.1727295,3.1,109.15,109.1,0.01,24.2,NaN,0.79,-0.19,NaN,0.0,102.03,266.4,27.7,NaN,-15.19,3.9,NaN,NaN
0.0,1.0,812.8,749.4,837.2,1.0,2.4,29.84,118.4,124.575,116.9,271.55,86.02999999999997,1030.75,1044.66,1116.78,1036.53,1.71,12.17,50.72,144.51,1053.6,241.16,96.83000000000004,955.88,987.95,963.55,1052.71,2.15,12.96,50.66,144.21,1016.5,48.11,54.0,0.0,NaN,358.0,61.0,NaN,0.0,0.01,47.9500885,-97.1727295,3.1,109.15,109.1,0.01,24.2,NaN,0.78,-0.19,NaN,0.0,102.11,266.4,27.7,NaN,-13.99,3.9,NaN,NaN
0.0,0.0,812.8,748.7,836.6,-0.2999999999999545,2.5,29.84,118.4,124.575,116.9,271.82,87.78999999999996,1031.75,1044.51,1119.54,1037.77,1.67,12.18,50.85,144.49,1059.8,241.51,95.57999999999993,956.0,989.43,965.53,1051.58,2.06,13.01,50.52,144.21,1004.1,48.13,54.0,0.0,NaN,358.0,61.0,NaN,0.0,0.0,47.9500885,-97.1727219,3.1,109.15,109.1,0.0,24.2,NaN,0.78,-0.2,NaN,0.0,102.13,266.4,27.7,NaN,-15.92,0.0,NaN,NaN
0.0,0.0,812.8,748.7,836.5,0.0,2.5,29.84,118.4,124.575,116.9,272.11,87.11000000000013,1028.77,1047.51,1115.88,1037.17,1.68,12.18,50.97,144.42,1062.3,241.87,92.57000000000005,960.14,988.45,967.78,1052.71,2.05,13.02,50.49,144.19,1015.2,48.17,54.0,0.0,NaN,358.0,61.0,NaN,0.0,0.0,47.9500885,-97.1727219,3.1,109.15,109.1,0.0,24.2,NaN,0.77,-0.21,NaN,0.0,102.17,266.4,27.7,NaN,-5.3,3.9,NaN,NaN
0.0,0.0,813.8,748.8,836.6,0.8000000000000682,2.5,29.84,118.4,124.575,116.9,272.46,84.50999999999999,1026.86,1050.89,1111.37,1037.73,1.71,12.14,50.97,144.42,1056.6,242.21,93.00999999999999,961.02,984.93,967.48,1054.03,2.03,13.03,50.57,144.18,1016.1,48.06,54.0,0.0,NaN,358.0,61.0,NaN,0.0,-0.0,47.9500885,-97.1727219,3.1,109.15,109.1,0.01,24.2,NaN,0.77,-0.21,NaN,0.0,102.06,266.4,27.7,NaN,-0.21,3.9,NaN,NaN
0.0,1.0,812.8,750.1,837.9,2.699999999999932,2.4,29.84,118.4,124.575,116.9,272.75,87.49000000000001,1024.51,1052.76,1112.0,1037.15,1.72,12.14,50.99,144.38,1052.1,242.57,91.84000000000003,962.1,982.64,963.27,1053.94,2.02,12.96,50.63,144.15,1020.3,48.05,54.0,0.0,NaN,358.0,15.5,11.0,0.0,0.01,47.9500885,-97.1727295,3.1,109.15,109.1,0.0,24.2,NaN,0.77,-0.2,NaN,0.0,102.05,266.4,27.7,16.0,-2.49,0.0,NaN,NaN
0.0,0.0,812.8,749.1,836.9,1.0,2.5,29.84,118.4,124.575,116.9,273.06,88.89999999999986,1026.93,1055.13,1115.83,1035.6,1.72,12.19,50.92,144.33,1052.6,242.96,91.59000000000003,965.56,980.38,962.84,1054.43,2.06,13.02,50.59,144.14,1013.8,47.97,54.0,0.0,NaN,358.0,15.5,11.0,0.0,0.01,47.9500885,-97.1727295,3.1,109.15,109.1,0.01,24.2,NaN,0.77,-0.21,NaN,0.0,101.97,266.4,27.7,16.0,-15.17,0.0,NaN,NaN
0.0,0.0,812.8,748.6,836.5,0.5,2.5,29.84,118.4,124.575,116.9,273.42,93.0,1029.83,1055.11,1122.83,1034.38,1.71,12.27,50.74,144.34,1049.9,243.31,94.75,965.82,978.9,964.78,1059.53,2.03,13.04,50.53,144.09,1011.8,47.87,54.0,0.0,NaN,358.0,15.5,11.0,0.0,0.0,47.9500885,-97.1727295,3.1,109.15,109.1,0.0,24.2,NaN,0.77,-0.21,NaN,0.0,101.87,266.4,27.7,16.0,-15.97,3.9,NaN,NaN
0.0,1.0,812.8,749.8,837.6,1.6000000000000227,2.5,29.84,118.4,124.575,116.9,273.69,96.14999999999986,1033.52,1055.0,1128.6,1032.45,1.72,12.26,50.7,144.33,1048.4,243.68,103.09999999999991,964.98,977.81,967.2,1068.08,2.04,13.08,50.51,144.05,1013.5,47.79,54.0,0.0,NaN,358.0,15.0,10.0,0.0,0.01,47.9500885,-97.1727371,3.1,109.15,109.1,0.0,24.2,NaN,0.77,-0.22,NaN,0.0,101.78999999999999,266.4,27.7,16.0,-9.51,0.0,NaN,NaN
0.0,1.0,812.8,749.9,837.7,1.7000000000000455,2.5,29.84,118.4,124.575,116.9,274.0,98.25,1031.63,1055.59,1129.88,1031.78,1.71,12.2,50.95,144.36,1061.3,244.04,105.34999999999991,960.94,980.63,966.52,1066.29,2.04,13.02,50.6,144.03,1015.5,47.83,54.0,0.0,NaN,358.0,15.0,10.0,0.0,0.01,47.9500885,-97.1727371,3.1,109.15,109.1,0.01,24.2,NaN,0.77,-0.22,NaN,0.0,101.83,266.4,27.7,16.0,-4.16,0.0,NaN,NaN
0.0,1.0,812.8,749.9,837.7,1.0,2.4,29.84,118.4,124.575,116.9,274.29,97.00999999999999,1029.98,1055.05,1126.99,1031.56,1.75,12.16,50.89,144.27,1053.9,244.3,104.13999999999999,959.6,985.33,964.35,1063.74,2.05,13.03,50.61,143.99,1016.1,47.86,54.0,0.0,NaN,358.0,15.0,10.0,0.0,0.01,47.9500885,-97.1727371,3.1,109.15,109.1,0.0,24.2,NaN,0.76,-0.21,NaN,0.0,101.86,266.4,27.7,16.0,-12.2,0.0,NaN,NaN
0.0,1.0,812.8,749.9,837.7,0.5,2.4,29.84,118.4,124.575,116.9,274.54,98.53999999999996,1031.53,1055.33,1130.07,1031.83,1.76,12.22,50.75,144.32,1052.7,244.68,101.67000000000007,960.56,985.79,965.25,1062.23,2.1,13.07,50.54,143.98,1007.9,47.72,54.0,0.0,NaN,358.0,15.5,10.0,0.0,-0.0,47.9500885,-97.1727371,3.1,109.15,109.1,0.01,24.2,NaN,0.77,-0.22,NaN,0.0,101.72,266.4,27.7,16.0,-7.76,0.0,NaN,NaN
0.0,2.0,812.8,750.5,838.3,1.6999999999999318,2.4,29.84,118.4,124.575,116.9,274.81,94.97000000000003,1030.7,1055.67,1125.67,1033.28,1.73,12.16,50.97,144.23,1064.5,245.02,102.46000000000004,963.21,983.93,964.82,1065.67,2.3,13.06,50.48,143.98,1013.8,47.67,54.0,0.0,NaN,358.0,15.5,10.0,0.0,0.0,47.9500885,-97.1727371,3.1,109.15,109.1,0.0,24.2,NaN,0.78,-0.22,NaN,0.0,101.67,266.4,27.7,16.0,-1.52,0.0,NaN,NaN
0.0,2.0,812.8,751.0,838.8,2.2999999999999545,2.4,29.84,118.4,124.575,116.9,275.12,87.07000000000016,1030.86,1054.06,1117.93,1032.56,1.68,12.12,50.96,144.16,1052.8,245.37,105.42999999999995,964.42,982.15,962.4,1067.83,2.24,13.06,50.54,143.94,1010.9,47.64,54.0,0.0,NaN,357.9,15.5,10.0,0.0,-0.0,47.9500885,-97.1727371,3.1,109.15,109.1,0.01,24.2,NaN,0.78,-0.21,NaN,0.0,101.64,266.4,27.7,16.0,-12.08,0.0,NaN,NaN
0.0,1.0,812.8,750.0,837.8,1.1999999999999318,2.5,29.84,118.4,124.575,116.9,275.41,93.91000000000008,1030.74,1054.78,1124.65,1032.82,1.68,12.21,50.85,144.19,1054.1,245.7,109.85000000000002,966.02,982.13,961.6,1071.45,2.13,13.11,50.44,143.91,1002.8,47.67,54.0,0.0,NaN,357.9,15.0,10.0,0.0,-0.0,47.9500885,-97.1727295,3.1,109.15,109.1,0.01,24.2,NaN,0.78,-0.21,NaN,0.0,101.67,266.4,27.7,16.0,-15.85,0.0,NaN,NaN
0.0,1.0,812.8,750.0,837.8,-0.10000000000002274,2.5,29.84,118.4,124.575,116.9,275.71,98.33999999999992,1030.66,1052.49,1129.0,1034.45,1.73,12.23,50.88,144.13,1050.6,246.03,112.43999999999994,967.04,981.72,962.62,1075.06,2.04,13.1,50.54,143.88,1011.5,47.64,54.0,0.0,NaN,357.9,15.0,10.0,0.0,0.01,47.9500885,-97.1727295,3.1,109.15,109.1,-0.01,24.2,NaN,0.78,-0.21,NaN,0.0,101.64,266.4,27.7,16.0,-11.34,0.0,NaN,NaN
0.0,1.0,812.8,749.9,837.7,0.8000000000000682,2.4,29.84,118.4,124.575,116.9,276.02,101.72000000000003,1029.21,1051.5,1130.93,1036.15,1.75,12.21,50.92,144.18,1057.6,246.36,113.12,967.33,981.92,962.11,1075.23,2.01,13.1,50.55,143.84,1006.4,47.71,54.0,0.0,NaN,357.9,15.0,10.0,0.0,0.01,47.9500885,-97.1727295,3.1,109.15,109.1,-0.0,24.2,NaN,0.78,-0.21,NaN,0.0,101.71000000000001,266.4,27.7,16.0,-0.63,0.0,NaN,NaN
0.0,1.0,812.8,749.8,837.6,1.1000000000000227,2.5,29.84,118.4,124.575,116.9,276.29,100.77999999999997,1027.56,1052.74,1128.34,1036.15,1.72,12.21,50.93,144.17,1057.9,246.67,116.81999999999994,970.93,981.73,959.8,1076.62,1.99,13.1,50.55,143.86,1013.3,47.77,54.0,0.0,NaN,357.9,15.5,10.0,0.0,-0.01,47.9500885,-97.1727295,3.1,109.15,109.1,-0.0,24.2,NaN,0.79,-0.21,NaN,0.0,101.77000000000001,266.4,27.7,16.0,-12.26,0.0,NaN,NaN
0.0,0.0,812.8,748.6,836.5,-1.1000000000000227,2.4,29.84,118.4,124.575,116.9,276.59,97.22000000000003,1025.1,1054.35,1122.32,1036.71,1.7,12.15,51.04,144.14,1063.3,247.01,116.19000000000005,972.92,981.8,958.04,1074.23,1.99,13.07,50.56,143.85,1011.3,47.8,54.0,0.0,NaN,357.9,15.5,10.0,0.0,-0.0,47.9500847,-97.1727295,3.1,109.15,109.1,0.01,24.2,NaN,0.79,-0.21,NaN,0.0,101.8,266.4,27.7,16.0,-3.74,0.0,NaN,NaN
