AltAGL,AltB,AltGPS,AltMSL,E1_EGT1,E1_EGT2,E1_EGT3,E1_EGT4,E1_FFlow,E1_OilP,E1_OilT,E1_RPM,FQtyL,FQtyR,GndSpd,IAS,LatAc,NormAc,OAT,Pitch,Roll,TAS,VSpd,VSpdG,WndDr,WndSpd
0.00000,793.60000,750.40000,838.20000,1061.02000,1041.73000,1059.65000,1039.73000,1.88000,58.48000,78.53000,973.40000,24.00000,24.00000,0.00000,0.00000,-0.00000,-0.01000,18.50000,1.90000,0.15000,0.00000,-15.89000,0.00000,0.00000,0.00000
0.00000,793.60000,750.30000,838.20000,1060.34000,1041.17000,1058.71000,1041.40000,1.85000,58.51000,78.55000,975.80000,24.00000,24.00000,0.00000,0.00000,0.00000,-0.02000,18.50000,1.91000,0.13000,0.00000,-16.00000,0.00000,0.00000,0.00000
0.00000,793.60000,751.00000,838.90000,1059.38000,1040.22000,1059.85000,1041.76000,1.85000,58.46000,78.58000,974.70000,24.00000,24.00000,0.00000,0.00000,-0.01000,-0.00000,18.50000,1.92000,0.13000,0.00000,-15.39000,0.00000,0.00000,0.00000
0.00000,794.60000,750.50000,838.40000,1059.04000,1039.41000,1061.24000,1044.12000,1.86000,58.44000,78.57000,973.40000,24.00000,24.00000,0.00000,0.00000,-0.00000,0.01000,18.50000,1.90000,0.13000,0.00000,-1.15000,0.00000,0.00000,0.00000
0.00000,793.60000,750.40000,838.20000,1059.09000,1038.11000,1060.65000,1043.62000,1.85000,58.50000,78.61000,972.10000,24.00000,24.00000,0.00000,0.00000,-0.00000,-0.01000,18.50000,1.89000,0.13000,0.00000,-11.44000,0.00000,0.00000,0.00000
0.00000,793.60000,750.30000,838.10000,1058.77000,1037.54000,1059.77000,1044.22000,1.86000,58.43000,78.64000,970.10000,24.00000,24.00000,0.00000,0.00000,0.00000,-0.01000,18.50000,1.88000,0.13000,0.00000,-15.82000,0.00000,0.00000,0.00000
0.00000,793.60000,750.20000,838.00000,1059.58000,1037.65000,1057.62000,1044.12000,1.86000,58.36000,78.67000,971.90000,24.00000,24.00000,0.00000,0.00000,-0.01000,-0.04000,18.50000,1.87000,0.13000,0.00000,-16.00000,3.90000,0.00000,0.00000
0.00000,793.60000,750.10000,837.90000,1059.28000,1038.21000,1054.86000,1042.46000,1.86000,58.38000,78.66000,971.80000,24.00000,24.00000,0.00000,0.00000,0.01000,0.03000,18.50000,1.90000,0.14000,0.00000,-14.97000,0.00000,0.00000,0.00000
0.00000,813.00000,749.80000,837.60000,1059.32000,1037.77000,1053.66000,1041.95000,1.85000,58.33000,78.68000,971.60000,24.00000,24.00000,0.00000,0.00000,-0.02000,0.04000,18.50000,1.89000,0.15000,0.00000,-3.39000,0.00000,0.00000,0.00000
0.00000,821.20000,750.80000,838.60000,1058.73000,1037.45000,1054.60000,1041.25000,1.88000,58.41000,78.73000,971.70000,24.00000,24.00000,0.00000,0.00000,0.01000,0.01000,18.50000,1.88000,0.14000,0.00000,-10.04000,0.00000,0.00000,0.00000
