AltAGL,AltB,AltGPS,AltMSL,BaroA,E1_CHT1,E1_EGT1,E1_EGT2,E1_EGT3,E1_EGT4,E1_FFlow,E1_MAP,E1_OilP,E1_OilT,E1_RPM,E2_CHT1,E2_EGT1,E2_EGT2,E2_EGT3,E2_EGT4,E2_FFlow,E2_OilP,E2_OilT,E2_RPM,FQtyL,FQtyR,GndSpd,IAS,LatAc,NormAc,OAT,Pitch,Roll,TAS,VSpd,VSpdG,WndDr,WndSpd
0.00000,812.80000,748.20000,836.00000,29.84000,270.54000,1032.30000,1046.36000,1124.23000,1026.40000,1.71000,12.15000,50.95000,144.57000,1057.50000,240.01000,959.64000,988.18000,954.42000,1067.02000,2.13000,50.63000,144.26000,1016.40000,48.14000,54.00000,0.00000,0.00000,0.01000,0.01000,24.20000,0.80000,-0.19000,0.00000,-2.86000,0.00000,0.00000,0.00000
0.00000,812.80000,748.20000,836.00000,29.84000,270.92000,1031.64000,1044.31000,1119.62000,1029.72000,1.73000,12.09000,51.10000,144.56000,1063.70000,240.40000,957.66000,987.34000,956.91000,1062.49000,2.27000,50.68000,144.24000,1023.50000,48.13000,54.00000,0.00000,0.00000,0.01000,0.00000,24.20000,0.79000,-0.20000,0.00000,-15.19000,0.00000,0.00000,0.00000
0.00000,812.80000,748.90000,836.70000,29.84000,271.23000,1031.18000,1044.61000,1115.24000,1032.22000,1.71000,12.10000,51.02000,144.50000,1059.20000,240.78000,956.51000,988.54000,960.73000,1056.20000,2.28000,50.66000,144.22000,1018.60000,48.03000,54.00000,0.00000,0.00000,-0.00000,0.01000,24.20000,0.79000,-0.19000,0.00000,-15.19000,3.90000,0.00000,0.00000
1.00000,812.80000,749.40000,837.20000,29.84000,271.55000,1030.75000,1044.66000,1116.78000,1036.53000,1.71000,12.17000,50.72000,144.51000,1053.60000,241.16000,955.88000,987.95000,963.55000,1052.71000,2.15000,50.66000,144.21000,1016.50000,48.11000,54.00000,0.00000,0.00000,0.01000,0.01000,24.20000,0.78000,-0.19000,0.00000,-13.99000,3.90000,0.00000,0.00000
0.00000,812.80000,748.70000,836.60000,29.84000,271.82000,1031.75000,1044.51000,1119.54000,1037.77000,1.67000,12.18000,50.85000,144.49000,1059.80000,241.51000,956.00000,989.43000,965.53000,1051.58000,2.06000,50.52000,144.21000,1004.10000,48.13000,54.00000,0.00000,0.00000,0.00000,0.00000,24.20000,0.78000,-0.20000,0.00000,-15.92000,0.00000,0.00000,0.00000
0.00000,812.80000,748.70000,836.50000,29.84000,272.11000,1028.77000,1047.51000,1115.88000,1037.17000,1.68000,12.18000,50.97000,144.42000,1062.30000,241.87000,960.14000,988.45000,967.78000,1052.71000,2.05000,50.49000,144.19000,1015.20000,48.17000,54.00000,0.00000,0.00000,0.00000,0.00000,24.20000,0.77000,-0.21000,0.00000,-5.30000,3.90000,0.00000,0.00000
0.00000,813.80000,748.80000,836.60000,29.84000,272.46000,1026.86000,1050.89000,1111.37000,1037.73000,1.71000,12.14000,50.97000,144.42000,1056.60000,242.21000,961.02000,984.93000,967.48000,1054.03000,2.03000,50.57000,144.18000,1016.10000,48.06000,54.00000,0.00000,0.00000,-0.00000,0.01000,24.20000,0.77000,-0.21000,0.00000,-0.21000,3.90000,0.00000,0.00000
1.00000,812.80000,750.10000,837.90000,29.84000,272.75000,1024.51000,1052.76000,1112.00000,1037.15000,1.72000,12.14000,50.99000,144.38000,1052.10000,242.57000,962.10000,982.64000,963.27000,1053.94000,2.02000,50.63000,144.15000,1020.30000,48.05000,54.00000,0.00000,0.00000,0.01000,0.00000,24.20000,0.77000,-0.20000,0.00000,-2.49000,0.00000,0.00000,0.00000
0.00000,812.80000,749.10000,836.90000,29.84000,273.06000,1026.93000,1055.13000,1115.83000,1035.60000,1.72000,12.19000,50.92000,144.33000,1052.60000,242.96000,965.56000,980.38000,962.84000,1054.43000,2.06000,50.59000,144.14000,1013.80000,47.97000,54.00000,0.00000,0.00000,0.01000,0.01000,24.20000,0.77000,-0.21000,0.00000,-15.17000,0.00000,0.00000,0.00000
0.00000,812.80000,748.60000,836.50000,29.84000,273.42000,1029.83000,1055.11000,1122.83000,1034.38000,1.71000,12.27000,50.74000,144.34000,1049.90000,243.31000,965.82000,978.90000,964.78000,1059.53000,2.03000,50.53000,144.09000,1011.80000,47.87000,54.00000,0.00000,0.00000,0.00000,0.00000,24.20000,0.77000,-0.21000,0.00000,-15.97000,3.90000,0.00000,0.00000
1.00000,812.80000,749.80000,837.60000,29.84000,273.69000,1033.52000,1055.00000,1128.60000,1032.45000,1.72000,12.26000,50.70000,144.33000,1048.40000,243.68000,964.98000,977.81000,967.20000,1068.08000,2.04000,50.51000,144.05000,1013.50000,47.79000,54.00000,0.00000,0.00000,0.01000,0.00000,24.20000,0.77000,-0.22000,0.00000,-9.51000,0.00000,0.00000,0.00000
1.00000,812.80000,749.90000,837.70000,29.84000,274.00000,1031.63000,1055.59000,1129.88000,1031.78000,1.71000,12.20000,50.95000,144.36000,1061.30000,244.04000,960.94000,980.63000,966.52000,1066.29000,2.04000,50.60000,144.03000,1015.50000,47.83000,54.00000,0.00000,0.00000,0.01000,0.01000,24.20000,0.77000,-0.22000,0.00000,-4.16000,0.00000,0.00000,0.00000
1.00000,812.80000,749.90000,837.70000,29.84000,274.29000,1029.98000,1055.05000,1126.99000,1031.56000,1.75000,12.16000,50.89000,144.27000,1053.90000,244.30000,959.60000,985.33000,964.35000,1063.74000,2.05000,50.61000,143.99000,1016.10000,47.86000,54.00000,0.00000,0.00000,0.01000,0.00000,24.20000,0.76000,-0.21000,0.00000,-12.20000,0.00000,0.00000,0.00000
1.00000,812.80000,749.90000,837.70000,29.84000,274.54000,1031.53000,1055.33000,1130.07000,1031.83000,1.76000,12.22000,50.75000,144.32000,1052.70000,244.68000,960.56000,985.79000,965.25000,1062.23000,2.10000,50.54000,143.98000,1007.90000,47.72000,54.00000,0.00000,0.00000,-0.00000,0.01000,24.20000,0.77000,-0.22000,0.00000,-7.76000,0.00000,0.00000,0.00000
2.00000,812.80000,750.50000,838.30000,29.84000,274.81000,1030.70000,1055.67000,1125.67000,1033.28000,1.73000,12.16000,50.97000,144.23000,1064.50000,245.02000,963.21000,983.93000,964.82000,1065.67000,2.30000,50.48000,143.98000,1013.80000,47.67000,54.00000,0.00000,0.00000,0.00000,0.00000,24.20000,0.78000,-0.22000,0.00000,-1.52000,0.00000,0.00000,0.00000
