AltAGL,AltB,AltGPS,AltMSL,BaroA,E1_CHT1,E1_EGT1,E1_EGT2,E1_EGT3,E1_EGT4,E1_FFlow,E1_MAP,E1_OilP,E1_OilT,E1_RPM,E2_CHT1,E2_EGT1,E2_EGT2,E2_EGT3,E2_EGT4,E2_FFlow,E2_OilP,E2_OilT,E2_RPM,FQtyL,FQtyR,GndSpd,IAS,LatAc,NormAc,OAT,Pitch,Roll,TAS,VSpd,VSpdG,WndDr,WndSpd
2.00000,823.10000,751.20000,839.00000,29.78000,258.96000,1049.13000,1106.21000,1142.07000,1064.86000,1.93000,12.23000,53.33000,123.70000,1115.10000,226.47000,1005.81000,1023.55000,1010.03000,1045.62000,1.87000,53.00000,125.28000,1080.70000,52.05000,54.00000,0.00000,0.00000,0.01000,0.02000,25.00000,1.41000,-0.07000,0.00000,-13.05000,0.00000,0.00000,0.00000
3.00000,823.10000,751.70000,839.50000,29.78000,259.39000,1048.50000,1109.26000,1142.39000,1063.87000,1.93000,12.26000,53.27000,123.74000,1110.70000,226.98000,1006.42000,1023.83000,1011.48000,1046.30000,1.87000,53.04000,125.26000,1082.00000,51.96000,54.00000,0.00000,0.00000,0.00000,0.00000,25.00000,1.41000,-0.08000,0.00000,-15.89000,0.00000,0.00000,0.00000
3.00000,823.10000,751.50000,839.30000,29.78000,259.80000,1046.49000,1108.90000,1142.13000,1065.19000,2.06000,12.22000,53.40000,123.69000,1113.10000,227.47000,1007.12000,1024.92000,1012.08000,1048.31000,1.86000,52.99000,125.25000,1080.20000,51.98000,54.00000,0.00000,0.00000,0.00000,-0.01000,25.00000,1.40000,-0.09000,0.00000,-16.00000,0.00000,0.00000,0.00000
3.00000,823.10000,751.50000,839.30000,29.78000,260.14000,1045.40000,1110.36000,1142.98000,1064.47000,2.00000,12.24000,53.30000,123.75000,1110.00000,227.88000,1005.59000,1025.25000,1012.10000,1052.90000,1.88000,52.99000,125.24000,1077.50000,51.89000,54.00000,0.00000,0.00000,0.01000,-0.01000,25.00000,1.41000,-0.09000,0.00000,-16.00000,0.00000,0.00000,0.00000
3.00000,823.10000,751.60000,839.40000,29.78000,260.47000,1045.47000,1111.56000,1142.16000,1065.70000,2.03000,12.25000,53.25000,123.68000,1111.40000,228.35000,1005.20000,1026.96000,1009.66000,1051.17000,1.90000,53.10000,125.25000,1086.90000,52.00000,54.00000,0.00000,0.00000,0.00000,0.01000,25.00000,1.40000,-0.09000,0.00000,-13.52000,0.00000,0.00000,0.00000
3.00000,823.10000,751.60000,839.40000,29.78000,260.92000,1046.98000,1111.58000,1140.36000,1067.48000,1.95000,12.26000,53.35000,123.76000,1119.10000,228.82000,1005.73000,1026.84000,1007.15000,1045.58000,1.89000,53.18000,125.26000,1091.60000,51.99000,54.00000,0.00000,0.00000,0.00000,0.02000,25.00000,1.41000,-0.10000,0.00000,-3.34000,0.00000,0.00000,0.00000
2.00000,823.10000,750.40000,838.20000,29.78000,261.26000,1047.09000,1109.88000,1140.89000,1066.15000,1.90000,12.20000,53.50000,123.73000,1122.50000,229.26000,1005.72000,1029.14000,1005.97000,1040.05000,1.90000,53.13000,125.28000,1087.20000,51.85000,54.00000,0.00000,0.00000,0.01000,0.00000,25.00000,1.41000,-0.09000,0.00000,-0.17000,0.00000,0.00000,0.00000
2.00000,823.10000,750.80000,838.70000,29.78000,261.63000,1046.38000,1110.66000,1138.71000,1064.52000,1.90000,12.12000,53.73000,123.68000,1132.10000,229.69000,1006.55000,1032.90000,1005.85000,1038.76000,1.91000,53.04000,125.29000,1083.10000,51.89000,54.00000,0.00000,0.00000,-0.00000,0.00000,25.00000,1.41000,-0.11000,0.00000,-4.34000,0.00000,0.00000,0.00000
2.00000,823.10000,750.90000,838.70000,29.78000,261.98000,1046.17000,1110.44000,1135.94000,1063.64000,1.93000,12.12000,53.63000,123.70000,1127.80000,230.09000,1007.41000,1033.76000,1009.04000,1035.91000,1.93000,53.02000,125.26000,1080.70000,52.04000,54.00000,0.00000,0.00000,0.00000,0.00000,25.00000,1.41000,-0.12000,0.00000,-0.97000,0.00000,0.00000,0.00000
2.00000,823.10000,750.80000,838.70000,29.78000,262.36000,1047.48000,1109.97000,1134.80000,1065.50000,1.93000,12.11000,53.65000,123.75000,1129.00000,230.54000,1009.68000,1031.39000,1012.08000,1036.83000,1.95000,52.93000,125.26000,1075.90000,51.95000,54.00000,0.00000,0.00000,0.01000,0.01000,25.00000,1.42000,-0.11000,0.00000,-0.03000,0.00000,0.00000,0.00000
2.00000,823.10000,750.80000,838.60000,29.78000,262.70000,1050.34000,1109.27000,1134.27000,1065.31000,1.94000,12.16000,53.57000,123.75000,1126.70000,230.98000,1010.34000,1031.60000,1012.77000,1041.79000,1.95000,52.86000,125.24000,1071.20000,51.88000,54.00000,0.00000,0.00000,0.01000,0.01000,25.00000,1.43000,-0.12000,0.00000,-0.00000,0.00000,0.00000,0.00000
2.00000,824.10000,750.70000,838.60000,29.78000,263.05000,1050.36000,1110.52000,1134.03000,1064.60000,1.95000,12.16000,53.51000,123.73000,1123.60000,231.44000,1012.07000,1030.41000,1014.88000,1043.36000,1.95000,52.87000,125.22000,1074.90000,51.89000,54.00000,0.00000,0.00000,-0.01000,0.00000,25.00000,1.42000,-0.13000,0.00000,-0.00000,0.00000,0.00000,0.00000
