#AltAGL,AltB,AltGPS,AltMSL,AltMSL Lag Diff,amp1,amp2,BaroA,COM1,COM2,CRS,E1 CHT Variance,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT Variance,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,E1 FFlow,E1 OilP,E1 OilT,E1 RPM,FQtyL,FQtyR,GndSpd,HAL,HCDI,HDG,HPLfd,HPLwas,IAS,LatAc,Latitude,Longitude,MagVar,NAV2,NormAc,OAT,Pitch,Roll,TAS,Total Fuel,TRK,volt1,volt2,VPLwas,VSpd,VSpdG,WndDr,WndSpd,WptBrg,WptDst
#ft agl,ft Baro,ft wgs,ft msl,ft msl,amps,amps,inch,MHz,MHz,deg,deg F,deg F,deg F,deg F,deg F,deg F,deg F,deg F,deg F,deg F,gph,psi,deg F,rpm,gals,gals,kt,mt,fsd,deg,mt,mt,kt,G,degrees,degrees,deg,MHz,G,deg C,deg,deg,kt,gals,deg,volts,volts,mt,fpm,fpm,deg,kt,deg,nm
0.0,852.8,746.0,833.9,0.2999999999999545,3.9,0.2,30.05,120.55,124.575,160.5,21.569999999999993,234.46,226.06,245.54,247.63,26.470000000000027,1042.27,1045.25,1068.74,1063.03,2.34,53.02,157.56,953.4,21.17,21.86,0.0,3704.0,NaN,357.2,42.0,34.0,0.0,0.01,47.9485893,-97.1728058,3.1,108.4,-0.03,27.5,1.2,-0.09,0.0,43.03,267.5,28.1,28.1,46.0,-27.2,0.0,NaN,NaN,NaN,NaN
0.0,853.8,746.1,833.9,-0.10000000000002274,3.8,0.2,30.05,120.55,124.575,160.5,21.569999999999993,234.77,226.33,245.78,247.9,25.649999999999864,1042.95,1047.69,1068.6,1062.79,2.3,52.95,157.53,948.2,21.17,21.86,0.0,3704.0,NaN,357.2,42.5,34.0,0.0,0.01,47.9485893,-97.1728058,3.1,108.4,0.0,27.5,1.25,-0.1,0.0,43.03,267.5,28.1,28.1,46.0,-16.46,0.0,NaN,NaN,NaN,NaN
0.0,852.8,746.2,834.0,-0.20000000000004547,3.8,0.2,30.05,120.55,124.575,160.5,21.579999999999984,235.1,226.58,246.06,248.16,23.980000000000018,1044.53,1047.13,1068.51,1063.17,2.35,52.97,157.5,945.7,21.15,21.86,0.0,3704.0,NaN,357.2,42.5,34.0,0.0,-0.01,47.9485893,-97.1728058,3.1,108.4,0.01,27.5,1.26,-0.1,0.0,43.01,267.5,28.1,28.1,46.0,-12.77,0.0,NaN,NaN,NaN,NaN
0.0,853.8,746.6,834.4,1.2999999999999545,3.9,0.2,30.05,120.55,124.575,160.5,21.569999999999993,235.54,226.96,246.47,248.53,23.87999999999988,1044.95,1046.85,1068.83,1064.34,2.3,53.13,157.47,952.2,21.15,21.86,0.0,3704.0,NaN,357.2,42.0,34.0,0.0,0.01,47.9485893,-97.1728058,3.1,108.4,-0.01,27.5,1.22,-0.07,0.0,43.01,267.5,28.1,28.1,46.0,7.05,0.0,NaN,NaN,NaN,NaN
0.0,853.8,746.6,834.4,1.3999999999999773,3.8,0.2,30.05,120.55,124.575,160.5,21.580000000000013,235.79,227.14,246.63,248.72,23.199999999999818,1043.92,1048.0,1067.12,1065.36,2.35,53.05,157.43,955.2,21.15,21.86,0.0,3704.0,NaN,357.2,42.0,34.0,0.0,0.01,47.9485893,-97.1728058,3.1,108.4,-0.0,27.5,1.24,-0.1,0.0,43.01,267.5,28.1,28.1,46.0,7.52,0.0,NaN,NaN,NaN,NaN
0.0,853.8,747.7,835.5,2.6000000000000227,3.7,0.2,30.05,120.55,124.575,160.5,21.590000000000003,236.2,227.48,247.02,249.07,23.320000000000164,1043.34,1049.03,1066.66,1066.28,2.33,53.23,157.4,960.5,21.15,21.86,0.0,3704.0,NaN,357.2,42.0,33.0,0.0,0.01,47.9485893,-97.1728058,3.1,108.4,0.0,27.5,1.25,-0.08,0.0,43.01,267.5,28.1,28.1,46.0,4.2,3.9,NaN,NaN,NaN,NaN
0.0,853.8,747.9,835.7,2.900000000000091,3.8,0.2,30.05,120.55,124.575,160.5,21.590000000000003,236.52,227.74,247.25,249.33,25.019999999999982,1042.51,1050.62,1067.53,1067.32,2.31,53.25,157.37,961.8,21.15,21.86,0.0,3704.0,NaN,357.2,42.0,33.0,0.0,0.01,47.9485893,-97.1728058,3.1,108.4,-0.0,27.5,1.25,-0.11,0.0,43.01,267.5,28.1,28.1,46.0,0.22,0.0,NaN,NaN,NaN,NaN
0.0,853.8,748.0,835.8,2.7999999999999545,3.8,0.2,30.05,120.55,124.575,160.5,21.569999999999993,236.84,228.03,247.53,249.6,27.149999999999864,1041.67,1047.65,1068.82,1067.88,2.36,53.3,157.34,961.8,21.15,21.89,0.0,3704.0,NaN,357.2,42.0,34.0,0.0,0.01,47.9485893,-97.1728058,3.1,108.4,0.0,27.5,1.23,-0.11,0.0,43.04,267.5,28.1,28.1,46.0,2.48,0.0,NaN,NaN,NaN,NaN
0.0,853.8,748.1,836.0,2.6000000000000227,3.7,0.2,30.05,120.55,124.575,160.5,21.54000000000002,237.18,228.29,247.79,249.83,28.930000000000064,1040.5,1047.16,1069.43,1068.12,2.35,53.18,157.32,955.4,21.15,21.89,0.0,3704.0,NaN,357.2,42.5,34.0,0.0,0.01,47.9485893,-97.1728058,3.1,108.4,-0.01,27.5,1.23,-0.09,0.0,43.04,267.5,28.1,28.1,46.0,3.36,0.0,NaN,NaN,NaN,NaN
0.0,854.8,747.8,835.6,1.8000000000000682,3.7,0.2,30.05,120.55,124.575,160.5,21.599999999999994,237.51,228.56,248.11,250.16,33.87999999999988,1037.21,1048.75,1071.09,1067.77,2.37,53.25,157.29,958.0,21.15,21.89,0.0,3704.0,NaN,357.2,42.0,33.0,0.0,-0.0,47.9485893,-97.1728058,3.1,108.4,-0.01,27.5,1.21,-0.1,0.0,43.04,267.5,28.1,28.1,46.0,8.45,0.0,NaN,NaN,NaN,NaN
0.0,855.8,745.1,832.9,-1.0,3.7,0.2,30.05,120.55,124.575,160.5,21.560000000000002,238.11,229.04,248.61,250.6,37.08999999999992,1036.17,1051.55,1073.26,1066.98,2.32,53.06,157.23,953.5,21.15,21.91,0.0,3704.0,NaN,357.2,41.5,33.0,0.0,0.02,47.9485893,-97.1728058,3.1,108.4,-0.0,27.5,1.19,-0.11,0.0,43.06,267.5,28.1,28.1,45.0,21.97,0.0,NaN,NaN,NaN,NaN
0.0,855.8,744.8,832.6,-1.2999999999999545,3.6,0.2,30.05,120.55,124.575,160.5,21.580000000000013,238.41,229.28,248.92,250.86,34.86999999999989,1038.69,1051.91,1073.56,1067.12,2.34,53.13,157.2,957.3,21.15,21.94,0.0,3704.0,NaN,357.2,42.0,33.0,0.0,-0.0,47.9485893,-97.1728058,3.1,108.4,-0.0,27.5,1.21,-0.13,0.0,43.09,267.5,28.1,28.1,46.0,28.83,0.0,NaN,NaN,NaN,NaN
0.0,855.8,744.4,832.2,-1.7999999999999545,3.5,0.2,30.05,120.55,124.575,160.5,21.590000000000003,238.78,229.57,249.16,251.16,33.77999999999997,1039.29,1052.95,1073.07,1067.86,2.32,53.01,157.17,960.1,21.13,21.94,0.0,3704.0,NaN,357.2,42.0,34.0,0.0,0.01,47.9485893,-97.1728058,3.1,108.4,0.01,27.5,1.18,-0.1,0.0,43.07,267.5,28.1,28.1,46.0,25.85,-3.9,NaN,NaN,NaN,NaN
0.0,855.8,744.2,832.0,-2.3999999999999773,3.5,0.2,30.05,120.55,124.575,160.5,21.569999999999993,239.36,230.07,249.7,251.64,33.94999999999982,1040.17,1054.32,1074.12,1066.54,2.37,53.19,157.11,957.4,21.13,21.94,0.0,3704.0,NaN,357.2,41.5,33.0,0.0,0.0,47.9485893,-97.1727982,3.1,108.4,0.0,27.5,1.19,-0.14,0.0,43.07,267.5,28.1,28.1,46.0,-12.81,-3.9,NaN,NaN,NaN,NaN
0.0,855.8,745.0,832.8,-1.6000000000000227,3.5,0.2,30.05,120.55,124.575,160.5,21.560000000000002,239.75,230.42,250.05,251.98,30.100000000000136,1042.79,1052.86,1072.89,1066.58,2.31,53.15,157.08,953.9,21.13,21.94,0.0,3704.0,NaN,357.2,42.0,33.0,0.0,0.01,47.9485893,-97.1727982,3.1,108.4,-0.01,27.5,1.15,-0.13,0.0,43.07,267.5,28.1,28.1,46.0,-0.81,-3.9,NaN,NaN,NaN,NaN
0.0,855.8,745.8,833.6,-1.8999999999999773,3.4,0.2,30.05,120.55,124.575,160.5,21.519999999999982,240.08,230.71,250.33,252.23,26.769999999999982,1044.57,1049.45,1071.34,1066.14,2.3,53.18,157.06,957.4,21.13,21.94,0.0,3704.0,NaN,357.2,41.5,33.0,0.0,0.0,47.9485893,-97.1728058,3.1,108.4,0.01,27.5,1.14,-0.12,0.0,43.07,267.5,28.1,28.1,45.0,-0.02,0.0,NaN,NaN,NaN,NaN
0.0,855.8,745.5,833.3,-2.400000000000091,3.4,0.2,30.05,120.55,124.575,160.5,21.52000000000001,240.37,230.94,250.59,252.46,23.850000000000136,1045.3,1049.0,1069.15,1065.21,2.36,53.19,157.03,961.5,21.13,21.91,0.0,3704.0,NaN,357.2,41.5,33.0,0.0,0.01,47.9485893,-97.1728058,3.1,108.4,-0.03,27.5,1.12,-0.13,0.0,43.04,267.5,28.1,28.1,45.0,-0.0,-11.8,NaN,NaN,NaN,NaN
0.0,855.8,745.4,833.2,-2.599999999999909,3.3,0.2,30.05,120.55,124.575,160.5,21.52000000000001,240.67,231.2,250.84,252.72,23.960000000000036,1045.61,1049.68,1069.57,1065.62,2.31,53.3,157.0,965.7,21.13,21.91,0.0,3704.0,NaN,357.2,42.0,33.0,0.0,0.0,47.9485893,-97.1728058,3.1,108.4,-0.02,27.5,1.11,-0.13,0.0,43.04,267.5,28.1,28.1,46.0,-1.99,-3.9,NaN,NaN,NaN,NaN
0.0,855.8,745.2,833.1,-2.8999999999999773,3.3,0.2,30.05,120.55,124.575,160.5,21.48999999999998,240.96,231.43,251.15,252.92,23.830000000000155,1047.3,1050.83,1071.13,1066.87,2.34,53.36,156.98,966.9,21.13,21.91,0.0,3704.0,NaN,357.2,42.0,34.0,0.0,0.01,47.9485893,-97.1728058,3.1,108.4,-0.01,27.5,1.11,-0.14,0.0,43.04,267.5,28.1,28.1,46.0,1.06,-3.9,NaN,NaN,NaN,NaN
0.0,855.8,745.3,833.1,-2.5,3.3,0.2,30.05,120.55,124.575,160.5,21.480000000000018,241.23,231.7,251.35,253.18,24.450000000000045,1048.23,1052.36,1072.68,1068.69,2.38,53.2,156.96,964.9,21.13,21.91,0.0,3704.0,NaN,357.2,41.5,33.0,0.0,0.01,47.9485893,-97.1728058,3.1,108.4,0.02,27.5,1.14,-0.15,0.0,43.04,267.5,28.1,28.1,45.0,0.06,0.0,NaN,NaN,NaN,NaN
0.0,855.8,744.7,832.5,-0.39999999999997726,3.2,0.2,30.05,120.55,124.575,160.5,21.5,241.53,231.94,251.63,253.44,26.360000000000127,1046.87,1054.42,1073.23,1071.17,2.32,53.28,156.93,962.1,21.13,21.89,0.0,3704.0,NaN,357.2,41.5,33.0,0.0,0.02,47.9485893,-97.1728058,3.1,108.4,-0.0,27.5,1.12,-0.15,0.0,43.019999999999996,267.5,28.1,28.1,45.0,0.0,0.0,NaN,NaN,NaN,NaN
0.0,855.8,743.7,831.5,-1.1000000000000227,3.1,0.2,30.05,120.55,124.575,160.5,21.50999999999999,241.82,232.15,251.93,253.66,28.139999999999873,1045.39,1054.76,1073.53,1072.22,2.34,53.31,156.9,964.6,21.13,21.89,0.0,3704.0,NaN,357.2,41.5,33.0,0.0,0.01,47.9485893,-97.1728058,3.1,108.4,-0.01,27.5,1.1,-0.16,0.0,43.019999999999996,267.5,28.1,28.1,45.0,-4.8,3.9,NaN,NaN,NaN,NaN
0.0,855.8,743.6,831.4,-0.8000000000000682,3.1,0.1,30.05,120.55,124.575,160.5,21.47,242.11,232.43,252.15,253.9,30.690000000000055,1043.33,1054.29,1074.02,1071.28,2.35,53.16,156.88,960.4,21.13,21.86,0.0,3704.0,NaN,357.2,41.5,33.0,0.0,0.01,47.9485893,-97.1728058,3.1,108.4,0.01,27.5,1.12,-0.15,0.0,42.989999999999995,267.5,28.1,28.1,45.0,6.09,3.9,NaN,NaN,NaN,NaN
0.0,855.8,743.5,831.3,-0.7000000000000455,3.1,0.2,30.05,120.55,124.575,160.5,21.44999999999999,242.38,232.68,252.39,254.13,31.159999999999854,1043.95,1055.8,1075.11,1070.63,2.36,53.08,156.86,955.7,21.13,21.86,0.0,3704.0,NaN,357.2,41.5,33.0,0.0,0.01,47.9485893,-97.1728058,3.1,108.4,0.01,27.5,1.12,-0.16,0.0,42.989999999999995,267.5,28.1,28.1,45.0,6.24,3.9,NaN,NaN,NaN,NaN
0.0,855.8,743.4,831.3,-1.5,3.1,0.2,30.05,120.55,124.575,160.5,21.44999999999999,242.68,232.93,252.66,254.38,30.74000000000001,1045.12,1057.23,1075.86,1071.37,2.36,53.2,156.84,958.1,21.13,21.86,0.0,3704.0,NaN,357.2,42.0,33.0,0.0,0.01,47.9485893,-97.1728058,3.1,108.4,0.01,27.5,1.11,-0.14,0.0,42.989999999999995,267.5,28.1,28.1,46.0,0.28,3.9,NaN,NaN,NaN,NaN
0.0,855.8,743.8,831.6,-2.0,3.0,0.2,30.05,120.55,124.575,160.5,21.470000000000027,242.95,233.14,252.92,254.61,30.690000000000055,1045.57,1057.87,1076.26,1070.8,2.34,53.19,156.81,961.5,21.13,21.86,0.0,3704.0,NaN,357.2,41.5,33.0,0.0,-0.01,47.9485893,-97.1727982,3.1,108.4,-0.03,27.5,1.09,-0.15,0.0,42.989999999999995,267.5,28.1,28.1,45.0,6.28,3.9,NaN,NaN,NaN,NaN
0.0,855.8,744.1,831.9,-1.3999999999999773,3.0,0.1,30.05,120.55,124.575,160.5,21.5,243.22,233.35,253.13,254.85,29.440000000000055,1045.33,1058.64,1074.77,1070.22,2.31,53.24,156.79,961.7,21.13,21.84,0.0,3704.0,NaN,357.2,41.5,33.0,0.0,0.01,47.9485893,-97.1727982,3.1,108.4,0.02,27.5,1.13,-0.14,0.0,42.97,267.5,28.1,28.1,45.0,4.08,0.0,NaN,NaN,NaN,NaN
0.0,855.8,745.5,833.3,0.09999999999990905,3.0,0.2,30.05,120.55,124.575,160.5,21.47,243.61,233.7,253.52,255.17,29.149999999999864,1044.89,1058.83,1074.04,1070.72,2.35,53.27,156.77,963.7,21.13,21.84,0.0,3704.0,NaN,357.2,41.5,33.0,0.0,0.02,47.9485893,-97.1727982,3.1,108.4,-0.0,27.5,1.11,-0.11,0.0,42.97,267.5,28.1,28.1,45.0,-5.79,3.9,NaN,NaN,NaN,NaN
0.0,856.8,745.8,833.6,0.5,3.1,0.2,30.05,120.55,124.575,160.5,21.439999999999998,243.89,234.01,253.82,255.45,30.24000000000001,1043.42,1059.09,1073.66,1071.41,2.28,53.27,156.74,962.5,21.13,21.84,0.0,3704.0,NaN,357.2,41.5,33.0,0.0,0.01,47.9485893,-97.1727982,3.1,108.4,-0.01,27.5,1.12,-0.15,0.0,42.97,267.5,28.1,28.1,45.0,12.55,3.9,NaN,NaN,NaN,NaN
0.0,854.8,746.0,833.8,0.6999999999999318,3.0,0.2,30.05,120.55,124.575,160.5,21.430000000000007,244.17,234.25,254.09,255.68,32.180000000000064,1041.61,1057.36,1073.79,1071.78,2.36,53.31,156.72,964.9,21.1,21.84,0.0,3704.0,NaN,357.2,41.5,33.0,0.0,0.01,47.9485893,-97.1727982,3.1,108.4,0.01,27.5,1.14,-0.12,0.0,42.94,267.5,28.1,28.1,45.0,-11.38,3.9,NaN,NaN,NaN,NaN
0.0,855.8,746.3,834.1,1.6000000000000227,2.9,0.2,30.05,120.55,124.575,160.5,21.409999999999997,244.33,234.37,254.2,255.78,33.22000000000003,1040.61,1055.91,1073.83,1071.6,2.31,53.31,156.7,962.0,21.08,21.84,0.0,3704.0,NaN,357.2,42.0,33.0,0.0,0.01,47.9485893,-97.1727982,3.1,108.4,0.0,27.5,1.11,-0.13,0.0,42.92,267.5,28.1,28.1,45.0,-9.71,3.9,NaN,NaN,NaN,NaN
0.0,855.8,746.5,834.4,2.8999999999999773,2.8,0.1,30.05,120.55,124.575,160.5,21.399999999999977,244.67,234.69,254.53,256.09,34.11000000000013,1040.35,1055.73,1074.46,1071.96,2.29,53.23,156.68,965.5,21.08,21.84,0.0,3704.0,NaN,357.2,41.5,33.0,0.0,0.01,47.9485893,-97.1728058,3.1,108.4,-0.03,27.5,1.1,-0.14,0.0,42.92,267.5,28.1,28.1,45.0,-1.49,0.0,NaN,NaN,NaN,NaN
0.0,855.8,746.9,834.7,3.300000000000068,2.8,0.2,30.05,120.55,124.575,160.5,21.399999999999977,244.97,234.94,254.83,256.34,33.72000000000003,1041.61,1055.44,1075.33,1071.3,2.35,53.32,156.68,962.0,21.08,21.84,0.0,3704.0,NaN,357.2,41.5,33.0,0.0,0.01,47.9485893,-97.1728058,3.1,108.4,0.02,27.5,1.14,-0.14,0.0,42.92,267.5,28.0,28.0,45.0,-0.05,-3.9,NaN,NaN,NaN,NaN
0.0,855.8,744.6,832.4,1.1000000000000227,2.8,0.2,30.05,120.55,124.575,160.5,21.370000000000005,245.22,235.19,255.06,256.56,34.049999999999955,1041.99,1055.03,1076.04,1068.74,2.36,53.27,156.68,965.4,21.08,21.84,0.0,3704.0,NaN,357.2,41.0,33.0,0.0,0.02,47.9485893,-97.1728058,3.1,108.4,-0.0,27.5,1.12,-0.12,0.0,42.92,267.5,28.0,28.0,45.0,2.65,-3.9,NaN,NaN,NaN,NaN
0.0,855.8,744.5,832.3,1.0,2.8,0.2,30.05,120.55,124.575,160.5,21.389999999999986,245.47,235.44,255.31,256.83,36.11000000000013,1041.07,1050.08,1077.18,1066.93,2.25,53.28,156.67,963.0,21.05,21.84,0.0,3704.0,NaN,357.2,41.5,33.0,0.0,0.01,47.9485893,-97.1728058,3.1,108.4,0.01,27.5,1.12,-0.13,0.0,42.89,267.5,28.0,28.0,45.0,0.13,-3.9,NaN,NaN,NaN,NaN
0.0,855.8,744.3,832.1,0.5,2.8,0.2,30.05,120.55,124.575,160.5,21.41999999999996,245.73,235.61,255.55,257.03,36.77999999999997,1040.32,1048.46,1077.1,1065.89,2.29,53.2,156.66,960.0,21.05,21.84,0.0,3704.0,NaN,357.2,41.5,33.0,0.0,0.0,47.9485893,-97.1728058,3.1,108.4,-0.03,27.5,1.08,-0.11,0.0,42.89,267.5,28.0,28.0,45.0,0.0,-3.9,NaN,NaN,NaN,NaN
0.0,855.8,744.0,831.8,-0.10000000000002274,2.8,0.1,30.05,120.55,124.575,160.5,21.360000000000014,245.99,235.88,255.79,257.24,36.77000000000021,1039.61,1046.48,1076.38,1065.7,2.37,53.34,156.65,967.6,21.05,21.81,0.0,3704.0,NaN,357.2,41.5,33.0,0.0,0.01,47.9485893,-97.1728058,3.1,108.4,-0.01,27.5,1.09,-0.09,0.0,42.86,267.5,28.0,28.0,45.0,0.0,-3.9,NaN,NaN,NaN,NaN
0.0,855.8,745.4,833.2,-0.09999999999990905,2.7,0.1,30.05,120.55,124.575,160.5,21.390000000000015,246.24,236.1,256.01,257.49,35.52999999999997,1040.0,1048.75,1075.53,1065.83,2.36,53.12,156.63,959.2,21.05,21.81,0.0,3704.0,NaN,357.2,41.0,33.0,0.0,-0.0,47.9485893,-97.1728058,3.1,108.4,0.01,27.5,1.1,-0.11,0.0,42.86,267.5,28.0,28.0,45.0,0.0,-3.9,NaN,NaN,NaN,NaN
0.0,854.8,745.2,833.1,-0.5,2.7,0.2,30.05,120.55,124.575,160.5,21.319999999999993,246.46,236.36,256.27,257.68,31.910000000000082,1043.5,1052.26,1075.41,1067.38,2.31,53.22,156.62,958.5,21.05,21.81,0.0,3704.0,NaN,357.2,41.0,33.0,0.0,0.01,47.9485893,-97.1728058,3.1,108.4,-0.01,27.5,1.05,-0.07,0.0,42.86,267.5,28.0,28.0,45.0,-12.02,-3.9,NaN,NaN,NaN,NaN
0.0,855.8,745.9,833.7,-0.09999999999990905,2.7,0.1,30.05,120.55,124.575,160.5,21.370000000000005,246.72,236.56,256.52,257.93,31.039999999999964,1044.32,1053.62,1075.36,1069.22,2.31,53.23,156.6,964.5,21.08,21.81,0.0,3704.0,NaN,357.2,41.0,33.0,0.0,-0.0,47.9485893,-97.1728058,3.1,108.4,0.01,27.5,1.08,-0.09,0.0,42.89,267.5,28.0,28.0,45.0,-0.89,0.0,NaN,NaN,NaN,NaN
0.0,854.8,745.9,833.8,-0.3000000000000682,2.7,0.2,30.05,120.55,124.575,160.5,21.289999999999992,247.09,236.92,256.84,258.21,30.74000000000001,1044.05,1053.29,1074.79,1070.53,2.33,53.38,156.57,970.4,21.08,21.84,0.0,3704.0,NaN,357.2,41.0,33.0,0.0,-0.0,47.9485893,-97.1728058,3.1,108.4,-0.0,27.5,1.09,-0.09,0.0,42.92,267.5,28.1,28.1,45.0,-5.98,-3.9,NaN,NaN,NaN,NaN
0.0,855.8,746.2,834.0,-0.39999999999997726,2.6,0.1,30.05,120.55,124.575,160.5,21.32000000000002,246.66,236.47,256.43,257.79,29.11999999999989,1044.14,1052.72,1073.26,1070.1,2.32,53.31,156.53,972.2,21.08,21.86,0.0,3704.0,NaN,357.2,41.0,33.0,0.0,-0.0,47.9485893,-97.1728058,3.1,108.4,0.0,27.5,1.07,-0.08,0.0,42.94,267.5,28.1,28.1,45.0,-2.53,0.0,NaN,NaN,NaN,NaN
