AltAGL,AltB,AltGPS,AltMSL,BaroA,E1_CHT1,E1_CHT2,E1_CHT3,E1_CHT4,E1_EGT1,E1_EGT2,E1_EGT3,E1_EGT4,E1_FFlow,E1_OilP,E1_OilT,E1_RPM,FQtyL,FQtyR,GndSpd,IAS,LatAc,NormAc,OAT,Pitch,Roll,TAS,VSpd,VSpdG,WndDr,WndSpd
0.00000,837.40000,750.30000,838.20000,29.79000,194.55000,203.44000,204.66000,217.18000,1128.12000,1081.19000,1069.88000,1073.53000,2.50000,56.27000,138.26000,1047.50000,24.00000,23.70000,0.00000,0.00000,-0.01000,-0.01000,30.00000,2.14000,0.53000,0.00000,0.90000,0.00000,0.00000,0.00000
0.00000,837.40000,750.10000,837.90000,29.79000,195.17000,203.97000,205.24000,217.76000,1128.13000,1080.98000,1069.65000,1074.22000,2.53000,56.15000,138.22000,1043.20000,24.00000,23.68000,0.00000,0.00000,-0.01000,0.02000,30.00000,2.18000,0.51000,0.00000,0.94000,0.00000,0.00000,0.00000
0.00000,837.40000,750.20000,838.00000,29.79000,195.68000,204.32000,205.78000,218.20000,1131.28000,1080.84000,1068.87000,1074.57000,2.49000,56.26000,138.20000,1046.30000,24.00000,23.59000,0.00000,0.00000,-0.00000,-0.01000,30.00000,2.11000,0.53000,0.00000,1.96000,0.00000,0.00000,0.00000
0.00000,838.40000,750.20000,838.10000,29.79000,196.26000,204.83000,206.28000,218.74000,1129.97000,1080.18000,1068.71000,1074.86000,2.48000,56.23000,138.17000,1048.00000,24.00000,23.55000,0.00000,0.00000,-0.01000,-0.01000,30.00000,2.09000,0.47000,0.00000,4.87000,0.00000,0.00000,0.00000
0.00000,838.40000,750.30000,838.10000,29.79000,196.81000,205.36000,206.89000,219.29000,1130.85000,1078.77000,1068.49000,1074.54000,2.45000,56.40000,138.15000,1054.50000,24.00000,23.49000,0.00000,0.00000,-0.01000,0.01000,30.00000,2.13000,0.47000,0.00000,15.41000,0.00000,0.00000,0.00000
0.00000,838.40000,749.80000,837.70000,29.79000,197.36000,205.84000,207.37000,219.74000,1127.14000,1078.53000,1068.65000,1073.77000,2.44000,56.45000,138.12000,1060.30000,24.00000,23.47000,0.00000,0.00000,-0.00000,0.02000,30.00000,2.12000,0.54000,0.00000,12.36000,-3.90000,0.00000,0.00000
0.00000,837.40000,748.80000,836.70000,29.79000,197.88000,206.30000,207.89000,220.24000,1121.14000,1079.70000,1069.29000,1073.48000,2.45000,56.35000,138.09000,1056.70000,24.00000,23.47000,0.00000,0.00000,-0.02000,0.01000,30.00000,2.12000,0.48000,0.00000,-13.13000,0.00000,0.00000,0.00000
0.00000,837.40000,748.90000,836.70000,29.79000,198.43000,206.83000,208.39000,220.75000,1115.18000,1081.47000,1069.20000,1074.43000,2.45000,56.35000,138.06000,1057.60000,24.00000,23.44000,0.00000,0.00000,-0.01000,0.01000,30.00000,2.13000,0.47000,0.00000,-12.28000,0.00000,0.00000,0.00000
0.00000,837.40000,748.70000,836.50000,29.79000,198.95000,207.25000,208.98000,221.22000,1109.05000,1082.93000,1070.35000,1075.26000,2.45000,56.42000,138.04000,1057.00000,24.00000,23.44000,0.00000,0.00000,0.01000,0.02000,30.00000,2.12000,0.52000,0.00000,-6.65000,0.00000,0.00000,0.00000
0.00000,837.40000,748.50000,836.30000,29.79000,199.47000,207.72000,209.49000,221.71000,1105.67000,1082.84000,1072.18000,1075.77000,2.46000,56.39000,138.02000,1058.80000,24.00000,23.47000,0.00000,0.00000,-0.01000,0.01000,30.00000,2.11000,0.46000,0.00000,-4.82000,0.00000,0.00000,0.00000
0.00000,838.40000,748.40000,836.20000,29.79000,200.00000,208.16000,209.97000,222.17000,1105.42000,1082.48000,1074.23000,1076.30000,2.41000,56.41000,138.00000,1060.10000,24.00000,23.47000,0.00000,0.00000,-0.00000,0.01000,30.00000,2.14000,0.46000,0.00000,18.79000,0.00000,0.00000,0.00000
0.00000,837.40000,748.70000,836.50000,29.79000,200.50000,208.64000,210.52000,222.65000,1108.75000,1082.88000,1074.82000,1077.23000,2.50000,56.37000,137.97000,1060.60000,23.98000,23.49000,0.00000,0.00000,-0.00000,-0.01000,30.00000,2.13000,0.55000,0.00000,-0.32000,0.00000,0.00000,0.00000
0.00000,837.40000,749.70000,837.50000,29.79000,201.05000,209.10000,211.04000,223.14000,1113.11000,1083.48000,1074.54000,1078.16000,2.48000,56.27000,137.95000,1055.00000,23.98000,23.49000,0.00000,0.00000,-0.00000,0.04000,30.00000,2.14000,0.47000,0.00000,-3.78000,0.00000,0.00000,0.00000
0.00000,837.40000,749.40000,837.20000,29.79000,201.54000,209.55000,211.54000,223.61000,1113.58000,1084.26000,1075.06000,1078.86000,2.47000,56.31000,137.93000,1055.00000,23.96000,23.49000,0.00000,0.00000,0.00000,-0.02000,30.00000,2.10000,0.46000,0.00000,-13.98000,0.00000,0.00000,0.00000
0.00000,837.40000,749.50000,837.30000,29.79000,202.04000,210.01000,212.06000,224.07000,1113.45000,1084.62000,1074.95000,1079.29000,2.49000,56.32000,137.90000,1052.00000,23.96000,23.49000,0.00000,0.00000,-0.01000,0.02000,30.00000,2.12000,0.43000,0.00000,-2.47000,0.00000,0.00000,0.00000
0.00000,837.40000,749.50000,837.30000,29.79000,202.56000,210.42000,212.54000,224.55000,1113.95000,1084.40000,1075.16000,1079.41000,2.45000,56.26000,137.88000,1048.50000,23.94000,23.49000,0.00000,0.00000,0.00000,-0.01000,30.00000,2.12000,0.51000,0.00000,-9.34000,-3.90000,0.00000,0.00000
0.00000,837.40000,749.60000,837.40000,29.79000,203.07000,210.90000,213.04000,225.04000,1115.94000,1082.73000,1075.25000,1080.10000,2.47000,56.27000,137.86000,1049.70000,23.94000,23.49000,0.00000,0.00000,-0.01000,-0.01000,30.00000,2.10000,0.46000,0.00000,-4.39000,0.00000,0.00000,0.00000
0.00000,837.40000,749.50000,837.30000,29.79000,203.58000,211.34000,213.51000,225.48000,1113.06000,1082.39000,1075.22000,1080.57000,2.44000,56.30000,137.84000,1054.70000,23.94000,23.51000,0.00000,0.00000,-0.01000,-0.02000,30.00000,2.08000,0.44000,0.00000,-15.00000,0.00000,0.00000,0.00000
0.00000,837.40000,748.50000,836.30000,29.79000,204.18000,211.86000,214.04000,226.03000,1107.41000,1083.39000,1075.24000,1081.02000,2.48000,56.31000,137.82000,1055.50000,23.94000,23.51000,0.00000,0.00000,-0.01000,-0.02000,30.00000,2.08000,0.47000,0.00000,1.80000,0.00000,0.00000,0.00000
0.00000,837.40000,749.10000,836.90000,29.79000,204.70000,212.32000,214.67000,226.53000,1107.26000,1082.68000,1076.29000,1081.50000,2.50000,56.31000,137.80000,1050.70000,23.94000,23.53000,0.00000,0.00000,-0.00000,0.03000,30.00000,2.14000,0.51000,0.00000,1.77000,0.00000,0.00000,0.00000
0.00000,837.40000,749.30000,837.10000,29.79000,205.20000,212.82000,215.10000,226.99000,1109.60000,1081.46000,1076.45000,1081.62000,2.46000,56.21000,137.78000,1051.80000,23.96000,23.55000,0.00000,0.00000,-0.02000,-0.02000,30.00000,2.11000,0.46000,0.00000,1.09000,0.00000,0.00000,0.00000
