AltAGL,AltB,AltGPS,AltMSL,BaroA,E1_CHT1,E1_CHT2,E1_CHT3,E1_CHT4,E1_EGT1,E1_EGT2,E1_EGT3,E1_EGT4,E1_FFlow,E1_OilP,E1_OilT,E1_RPM,FQtyL,FQtyR,GndSpd,IAS,LatAc,NormAc,OAT,Pitch,Roll,TAS,VSpd,VSpdG,WndDr,WndSpd
0.00000,820.20000,745.50000,833.30000,29.65000,186.70000,176.83000,186.53000,191.51000,1069.76000,1058.64000,1040.96000,1044.68000,2.40000,58.69000,87.52000,1001.40000,20.95000,18.55000,0.00000,0.00000,-0.01000,-0.04000,32.00000,0.91000,0.16000,0.00000,-0.57000,0.00000,0.00000,0.00000
0.00000,821.20000,746.30000,834.10000,29.65000,187.43000,177.40000,187.19000,192.21000,1070.57000,1060.03000,1041.23000,1044.89000,2.41000,58.60000,87.56000,997.30000,20.95000,18.55000,0.00000,0.00000,0.01000,-0.01000,32.00000,0.94000,0.22000,0.00000,-0.71000,3.90000,0.00000,0.00000
0.00000,821.20000,746.00000,833.80000,29.65000,188.11000,177.89000,187.75000,192.80000,1074.66000,1061.38000,1041.96000,1044.94000,2.41000,58.68000,87.60000,1000.50000,20.95000,18.55000,0.00000,0.00000,0.00000,0.00000,32.00000,0.94000,0.19000,0.00000,23.25000,0.00000,0.00000,0.00000
0.00000,820.20000,746.10000,833.90000,29.65000,188.76000,178.38000,188.24000,193.37000,1074.66000,1061.53000,1042.51000,1045.36000,2.43000,58.79000,87.64000,1008.00000,20.95000,18.55000,0.00000,0.00000,-0.01000,-0.04000,32.00000,0.92000,0.15000,0.00000,3.08000,3.90000,0.00000,0.00000
0.00000,819.20000,746.10000,833.90000,29.65000,189.41000,178.85000,188.80000,193.94000,1072.34000,1060.76000,1043.43000,1046.11000,2.43000,58.75000,87.68000,1007.50000,20.95000,18.52000,0.00000,0.00000,0.01000,-0.04000,32.00000,0.96000,0.25000,0.00000,-21.36000,3.90000,0.00000,0.00000
0.00000,819.20000,746.00000,833.90000,29.65000,190.01000,179.31000,189.34000,194.49000,1073.69000,1061.17000,1043.93000,1045.97000,2.43000,58.73000,87.72000,1006.50000,20.95000,18.52000,0.00000,0.00000,-0.01000,0.05000,32.00000,1.02000,0.25000,0.00000,-29.44000,0.00000,0.00000,0.00000
0.00000,820.20000,746.80000,834.60000,29.65000,190.68000,179.82000,189.88000,195.06000,1073.72000,1062.21000,1043.59000,1045.95000,2.42000,58.69000,87.76000,1005.00000,20.95000,18.52000,0.00000,0.00000,-0.00000,-0.01000,32.00000,0.99000,0.19000,0.00000,-10.24000,3.90000,0.00000,0.00000
0.00000,820.20000,746.30000,834.10000,29.65000,191.30000,180.24000,190.44000,195.64000,1072.10000,1063.86000,1044.77000,1046.01000,2.46000,58.64000,87.80000,1001.50000,20.95000,18.47000,0.00000,0.00000,-0.00000,0.01000,32.00000,0.97000,0.16000,0.00000,-12.34000,3.90000,0.00000,0.00000
0.00000,821.20000,746.40000,834.20000,29.65000,191.97000,180.77000,191.06000,196.21000,1072.66000,1063.91000,1045.56000,1046.48000,2.44000,58.62000,87.84000,1000.10000,20.95000,18.47000,0.00000,0.00000,-0.01000,0.01000,32.00000,0.97000,0.20000,0.00000,20.20000,0.00000,0.00000,0.00000
0.00000,819.20000,746.30000,834.10000,29.65000,192.71000,181.33000,191.70000,196.89000,1073.17000,1063.21000,1045.49000,1046.95000,2.44000,58.50000,87.88000,995.00000,20.95000,18.47000,0.00000,0.00000,-0.01000,-0.01000,32.00000,0.97000,0.26000,0.00000,-12.90000,0.00000,0.00000,0.00000
0.00000,822.20000,746.40000,834.20000,29.65000,193.33000,181.78000,192.19000,197.41000,1073.97000,1063.54000,1044.66000,1047.05000,2.45000,58.54000,87.92000,995.40000,20.93000,18.47000,0.00000,0.00000,-0.00000,0.02000,32.00000,0.97000,0.16000,0.00000,32.68000,3.90000,0.00000,0.00000
0.00000,819.20000,746.20000,834.00000,29.65000,193.98000,182.23000,192.76000,197.98000,1071.29000,1063.80000,1043.65000,1046.74000,2.44000,58.55000,87.96000,996.00000,20.93000,18.47000,0.00000,0.00000,-0.01000,-0.01000,32.20000,0.97000,0.20000,0.00000,-17.58000,3.90000,0.00000,0.00000
0.00000,820.20000,745.40000,833.20000,29.65000,194.61000,182.68000,193.26000,198.52000,1067.48000,1064.03000,1043.92000,1047.11000,2.45000,58.51000,88.00000,996.30000,20.93000,18.50000,0.00000,0.00000,0.01000,0.01000,32.20000,0.99000,0.21000,0.00000,-5.64000,0.00000,0.00000,0.00000
0.00000,820.20000,744.60000,832.40000,29.65000,195.22000,183.15000,193.82000,199.05000,1064.58000,1064.23000,1044.25000,1047.38000,2.43000,58.57000,88.05000,999.30000,20.95000,18.50000,0.00000,0.00000,-0.01000,0.01000,32.20000,0.94000,0.14000,0.00000,-5.80000,0.00000,0.00000,0.00000
0.00000,821.20000,744.50000,832.30000,29.65000,195.84000,183.62000,194.32000,199.58000,1062.71000,1065.35000,1044.34000,1047.61000,2.44000,58.61000,88.09000,1000.60000,20.95000,18.55000,0.00000,0.00000,-0.01000,-0.01000,32.20000,0.92000,0.18000,0.00000,12.95000,0.00000,0.00000,0.00000
0.00000,821.20000,744.20000,832.00000,29.65000,196.45000,184.05000,194.79000,200.13000,1061.41000,1066.70000,1044.74000,1047.69000,2.41000,58.58000,88.13000,1000.40000,20.95000,18.58000,0.00000,0.00000,0.00000,-0.00000,32.20000,0.94000,0.22000,0.00000,18.72000,-3.90000,0.00000,0.00000
0.00000,819.20000,743.90000,831.70000,29.65000,197.08000,184.51000,195.37000,200.69000,1062.39000,1067.25000,1045.34000,1047.43000,2.39000,58.63000,88.17000,1002.70000,20.95000,18.58000,0.00000,0.00000,-0.00000,-0.02000,32.20000,0.94000,0.20000,0.00000,-22.29000,-3.90000,0.00000,0.00000
0.00000,819.20000,743.60000,831.40000,29.65000,197.69000,184.94000,195.86000,201.20000,1062.38000,1067.96000,1045.36000,1046.71000,2.42000,58.73000,88.21000,1010.50000,20.98000,18.60000,0.00000,0.00000,-0.01000,0.02000,32.20000,0.99000,0.20000,0.00000,-17.56000,-3.90000,0.00000,0.00000
0.00000,820.20000,745.30000,833.10000,29.65000,198.30000,185.40000,196.35000,201.71000,1059.91000,1068.40000,1045.88000,1045.67000,2.41000,58.76000,88.25000,1011.60000,21.00000,18.60000,0.00000,0.00000,-0.00000,-0.03000,32.20000,0.92000,0.21000,0.00000,-5.39000,-3.90000,0.00000,0.00000
0.00000,820.20000,745.00000,832.80000,29.65000,198.95000,185.86000,196.96000,202.28000,1059.08000,1069.58000,1046.35000,1044.94000,2.39000,58.66000,88.29000,1007.50000,21.03000,18.58000,0.00000,0.00000,0.01000,-0.00000,32.20000,0.92000,0.16000,0.00000,-5.21000,0.00000,0.00000,0.00000
0.00000,819.20000,744.30000,832.10000,29.65000,199.61000,186.34000,197.52000,202.89000,1061.85000,1070.23000,1047.28000,1044.62000,2.37000,58.65000,88.34000,1006.30000,21.03000,18.58000,0.00000,0.00000,-0.00000,-0.00000,32.20000,0.91000,0.18000,0.00000,-15.31000,0.00000,0.00000,0.00000
0.00000,820.20000,744.10000,832.00000,29.65000,200.15000,186.75000,197.99000,203.36000,1064.35000,1069.30000,1048.75000,1044.42000,2.46000,58.59000,88.38000,1002.70000,21.00000,18.55000,0.00000,0.00000,0.01000,-0.01000,32.20000,0.93000,0.20000,0.00000,-4.66000,0.00000,0.00000,0.00000
0.00000,820.20000,746.40000,834.20000,29.65000,200.81000,187.22000,198.52000,203.92000,1065.58000,1069.14000,1049.92000,1044.70000,2.45000,58.58000,88.42000,1002.70000,21.00000,18.55000,0.00000,0.00000,0.00000,0.01000,32.20000,0.97000,0.21000,0.00000,19.67000,0.00000,0.00000,0.00000
0.00000,819.20000,746.20000,834.00000,29.65000,201.32000,187.57000,198.94000,204.35000,1065.58000,1069.28000,1050.23000,1044.84000,2.43000,58.58000,88.46000,1004.10000,21.00000,18.52000,0.00000,0.00000,-0.01000,-0.01000,32.20000,0.96000,0.19000,0.00000,-9.48000,0.00000,0.00000,0.00000
