#AltAGL,AltB,AltGPS,AltMSL,AltMSL Lag Diff,amp1,BaroA,COM1,COM2,CRS,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,E1 FFlow,E1 OilP,E1 OilT,E1 RPM,FQtyL,FQtyR,GndSpd,HAL,HCDI,HDG,HPLfd,HPLwas,IAS,LatAc,Latitude,Longitude,MagVar,NAV1,NormAc,OAT,Pitch,Roll,TAS,Total Fuel,TRK,volt1,VPLwas,VSpd,VSpdG,WndDr,WndSpd,WptBrg,WptDst
#ft agl,ft Baro,ft wgs,ft msl,ft msl,amps,inch,MHz,MHz,deg,deg F,deg F,deg F,deg F,gph,psi,deg F,rpm,gals,gals,kt,mt,fsd,deg,mt,mt,kt,G,degrees,degrees,deg,MHz,G,deg C,deg,deg,kt,gals,deg,volts,mt,fpm,fpm,deg,kt,deg,nm
3.0,822.6,751.6,839.4,-0.6000000000000227,6.3,30.04,120.55,119.4,266.0,1101.26,1085.92,1107.99,1106.76,2.4,55.79,140.27,1107.7,21.49,18.76,0.0,3704.0,NaN,356.4,19.0,14.0,0.0,-0.02,47.9479561,-97.1724472,3.1,109.1,-0.03,28.5,3.27,0.92,0.0,40.25,266.8,28.0,18.0,-3.98,0.0,NaN,NaN,NaN,NaN
3.0,822.6,751.7,839.5,-0.5,6.3,30.04,120.55,119.4,266.0,1100.53,1086.93,1109.51,1107.74,2.43,55.94,140.28,1113.6,21.46,18.76,0.0,3704.0,NaN,356.4,19.0,14.0,0.0,-0.04,47.9479561,-97.1724472,3.1,109.1,-0.03,28.5,3.26,0.94,0.0,40.22,266.8,28.0,18.0,-0.15,0.0,NaN,NaN,NaN,NaN
2.0,822.6,751.0,838.9,-1.1000000000000227,6.2,30.04,120.55,119.4,266.0,1099.21,1087.69,1111.24,1108.12,2.4,56.05,140.21,1117.1,21.47,18.82,0.0,3704.0,NaN,356.5,18.5,14.0,0.0,0.0,47.9479561,-97.1724472,3.1,109.1,-0.02,28.5,3.27,0.94,0.0,40.29,266.8,28.0,18.0,-0.0,0.0,NaN,NaN,NaN,NaN
2.0,822.6,750.9,838.7,-1.3999999999999773,6.2,30.04,120.55,119.4,266.0,1099.38,1087.15,1111.14,1108.17,2.41,55.95,140.23,1117.4,21.48,18.87,0.0,3704.0,NaN,356.4,19.0,14.0,0.0,0.0,47.9479561,-97.1724472,3.1,109.1,0.01,28.5,3.27,0.99,0.0,40.35,266.8,28.0,18.0,-0.0,0.0,NaN,NaN,NaN,NaN
2.0,822.6,750.7,838.6,-1.0,6.2,30.04,120.55,119.4,266.0,1102.33,1087.33,1113.09,1107.03,2.46,55.91,140.17,1109.7,21.5,18.84,0.0,3704.0,NaN,356.5,19.0,14.0,0.0,-0.03,47.9479561,-97.1724472,3.1,109.1,0.0,28.5,3.31,0.98,0.0,40.34,266.8,28.0,18.0,-7.06,0.0,NaN,NaN,NaN,NaN
2.0,821.6,750.5,838.4,-0.20000000000004547,6.2,30.04,120.55,119.4,266.0,1101.87,1089.85,1114.71,1106.83,2.46,55.86,140.18,1107.8,21.55,18.79,0.0,3704.0,NaN,356.5,19.0,14.0,0.0,-0.04,47.9479561,-97.1724472,3.1,109.1,-0.03,28.5,3.31,0.98,0.0,40.34,266.8,28.0,18.0,-24.63,0.0,NaN,NaN,NaN,NaN
1.0,821.6,750.0,837.8,-1.400000000000091,6.4,30.04,120.55,119.4,266.0,1103.03,1087.12,1113.68,1106.12,2.46,55.87,140.14,1111.5,21.51,18.8,0.0,3704.0,NaN,356.5,19.0,14.0,0.0,0.0,47.9479523,-97.1724472,3.1,109.1,0.01,28.5,3.33,0.99,0.0,40.31,266.8,28.0,18.0,-17.27,0.0,NaN,NaN,NaN,NaN
2.0,822.6,750.4,838.2,-1.0,6.2,30.04,120.55,119.4,266.0,1102.2,1085.93,1111.82,1107.53,2.43,55.84,140.16,1115.3,21.48,18.79,0.0,3704.0,NaN,356.5,19.0,14.0,0.0,-0.03,47.9479561,-97.1724548,3.1,109.1,0.01,28.5,3.3,0.99,0.0,40.269999999999996,266.8,28.0,18.0,-3.48,0.0,NaN,NaN,NaN,NaN
2.0,821.6,750.5,838.4,-0.6000000000000227,6.3,30.04,120.55,119.4,266.0,1104.6,1085.96,1109.68,1106.7,2.42,55.9,140.13,1111.9,21.46,18.74,0.0,3704.0,NaN,356.5,18.5,14.0,0.0,-0.03,47.9479561,-97.1724472,3.1,109.1,0.01,28.5,3.3,0.99,0.0,40.2,266.8,28.0,18.0,-7.18,0.0,NaN,NaN,NaN,NaN
2.0,821.6,750.6,838.4,-0.6000000000000227,6.3,30.04,120.55,119.4,266.0,1104.27,1086.23,1109.09,1103.94,2.42,55.89,140.13,1110.9,21.5,18.71,0.0,3704.0,NaN,356.5,19.0,14.0,0.0,-0.01,47.9479561,-97.1724472,3.1,109.1,-0.03,28.5,3.27,0.99,0.0,40.21,266.8,28.0,18.0,-14.14,0.0,NaN,NaN,NaN,NaN
