AltAGL,AltB,AltGPS,AltMSL,E1_EGT1,E1_EGT2,E1_EGT3,E1_EGT4,E1_FFlow,E1_OilP,E1_OilT,E1_RPM,FQtyL,FQtyR,GndSpd,IAS,LatAc,NormAc,OAT,Pitch,Roll,TAS,VSpd,VSpdG,WndDr,WndSpd
0.00000,832.50000,750.30000,838.10000,1062.02000,1028.31000,1057.97000,1044.66000,2.42000,56.99000,110.42000,1063.40000,19.38000,21.34000,0.00000,0.00000,-0.01000,0.00000,26.00000,3.20000,0.37000,0.00000,-23.67000,0.00000,0.00000,0.00000
0.00000,833.50000,751.50000,839.30000,1061.76000,1028.55000,1060.14000,1044.41000,2.43000,57.02000,110.41000,1071.70000,19.33000,21.31000,0.00000,0.00000,-0.01000,0.01000,26.00000,3.21000,0.37000,0.00000,-18.46000,0.00000,0.00000,0.00000
0.00000,833.50000,751.20000,839.00000,1061.13000,1030.36000,1061.44000,1044.93000,2.44000,57.24000,110.41000,1078.40000,19.32000,21.31000,0.00000,0.00000,-0.01000,-0.02000,26.00000,3.19000,0.40000,0.00000,-1.03000,0.00000,0.00000,0.00000
1.00000,833.50000,752.60000,840.40000,1061.33000,1030.49000,1059.83000,1044.78000,2.45000,57.24000,110.37000,1074.70000,19.34000,21.36000,0.00000,0.00000,-0.01000,0.00000,26.00000,3.21000,0.41000,0.00000,-4.78000,0.00000,0.00000,0.00000
1.00000,833.50000,752.80000,840.70000,1062.04000,1031.34000,1058.90000,1045.10000,2.45000,57.29000,110.35000,1078.10000,19.36000,21.39000,0.00000,0.00000,-0.01000,-0.02000,26.00000,3.21000,0.43000,0.00000,10.50000,0.00000,0.00000,0.00000
1.00000,833.50000,753.00000,840.80000,1058.92000,1033.05000,1058.30000,1044.88000,2.45000,57.34000,110.33000,1081.40000,19.38000,21.41000,0.00000,0.00000,-0.01000,0.00000,25.80000,3.20000,0.43000,0.00000,-8.96000,0.00000,0.00000,0.00000
2.00000,832.50000,753.20000,841.00000,1058.63000,1033.27000,1057.87000,1045.87000,2.45000,57.30000,110.33000,1076.80000,19.39000,21.43000,0.00000,0.00000,-0.01000,0.01000,25.80000,3.20000,0.43000,0.00000,-29.18000,0.00000,0.00000,0.00000
1.00000,832.50000,752.30000,840.10000,1060.10000,1031.37000,1058.84000,1046.45000,2.45000,57.28000,110.32000,1077.70000,19.39000,21.40000,0.00000,0.00000,-0.01000,-0.02000,25.80000,3.20000,0.43000,0.00000,-31.90000,0.00000,0.00000,0.00000
1.00000,832.50000,753.00000,840.80000,1060.86000,1030.40000,1058.99000,1047.88000,2.43000,57.24000,110.29000,1077.00000,19.39000,21.39000,0.00000,0.00000,-0.01000,0.01000,25.80000,3.21000,0.42000,0.00000,-26.66000,0.00000,0.00000,0.00000
0.00000,832.50000,751.90000,839.70000,1065.03000,1032.05000,1059.44000,1046.87000,2.42000,57.22000,110.28000,1079.70000,19.35000,21.35000,0.00000,0.00000,-0.00000,-0.02000,25.80000,3.20000,0.42000,0.00000,-16.66000,0.00000,0.00000,0.00000
0.00000,832.50000,751.70000,839.50000,1066.30000,1032.89000,1060.18000,1046.75000,2.42000,57.25000,110.27000,1076.80000,19.32000,21.35000,0.00000,0.00000,-0.01000,-0.04000,25.80000,3.19000,0.42000,0.00000,-1.60000,0.00000,0.00000,0.00000
0.00000,832.50000,751.60000,839.40000,1067.33000,1032.84000,1058.90000,1046.36000,2.43000,57.22000,110.26000,1075.50000,19.33000,21.38000,0.00000,0.00000,-0.01000,0.01000,25.80000,3.21000,0.41000,0.00000,-0.05000,0.00000,0.00000,0.00000
0.00000,832.50000,751.50000,839.30000,1068.60000,1032.01000,1059.42000,1044.57000,2.42000,57.24000,110.26000,1077.30000,19.36000,21.38000,0.00000,0.00000,-0.00000,-0.02000,25.80000,3.19000,0.40000,0.00000,-13.47000,0.00000,0.00000,0.00000
1.00000,831.50000,752.40000,840.20000,1068.33000,1029.90000,1059.58000,1043.86000,2.42000,57.25000,110.25000,1078.00000,19.37000,21.36000,0.00000,0.00000,-0.01000,-0.01000,25.80000,3.21000,0.41000,0.00000,-15.91000,0.00000,0.00000,0.00000
0.00000,832.50000,750.80000,838.70000,1068.32000,1028.84000,1061.02000,1044.14000,2.43000,57.17000,110.26000,1071.00000,19.36000,21.35000,0.00000,0.00000,-0.01000,0.03000,25.80000,3.21000,0.40000,0.00000,-14.55000,0.00000,0.00000,0.00000
0.00000,832.50000,752.10000,839.90000,1071.97000,1028.88000,1063.02000,1046.17000,2.43000,57.12000,110.23000,1071.80000,19.36000,21.35000,0.00000,0.00000,-0.01000,0.02000,25.80000,3.22000,0.42000,0.00000,-0.97000,0.00000,0.00000,0.00000
1.00000,832.50000,752.20000,840.00000,1073.15000,1027.52000,1063.12000,1047.14000,2.42000,57.22000,110.25000,1077.60000,19.38000,21.36000,0.00000,0.00000,0.00000,0.03000,25.80000,3.19000,0.41000,0.00000,-0.03000,0.00000,0.00000,0.00000
1.00000,831.50000,752.20000,840.00000,1073.84000,1027.56000,1063.65000,1049.51000,2.42000,57.05000,110.24000,1069.70000,19.38000,21.37000,0.00000,0.00000,-0.01000,-0.00000,25.80000,3.16000,0.43000,0.00000,-8.09000,0.00000,0.00000,0.00000
1.00000,832.50000,752.20000,840.00000,1071.79000,1027.62000,1062.35000,1050.27000,2.43000,57.06000,110.26000,1070.90000,19.38000,21.36000,0.00000,0.00000,-0.01000,-0.02000,25.80000,3.16000,0.44000,0.00000,-2.95000,0.00000,0.00000,0.00000
0.00000,832.50000,751.60000,839.40000,1071.12000,1028.21000,1061.77000,1048.74000,2.43000,57.11000,110.25000,1073.00000,19.36000,21.38000,0.00000,0.00000,0.00000,-0.02000,25.80000,3.14000,0.44000,0.00000,-6.67000,0.00000,0.00000,0.00000
0.00000,831.50000,751.40000,839.20000,1069.25000,1029.44000,1061.98000,1048.03000,2.43000,57.16000,110.25000,1074.50000,19.32000,21.39000,0.00000,0.00000,-0.00000,0.01000,25.80000,3.15000,0.45000,0.00000,-15.56000,0.00000,0.00000,0.00000
0.00000,832.50000,750.00000,837.80000,1068.38000,1028.67000,1061.65000,1046.74000,2.44000,57.14000,110.22000,1071.50000,19.31000,21.36000,0.00000,0.00000,-0.00000,0.01000,25.80000,3.16000,0.44000,0.00000,-15.99000,0.00000,0.00000,0.00000
0.00000,831.50000,749.80000,837.60000,1067.63000,1027.68000,1060.56000,1046.68000,2.45000,57.04000,110.21000,1068.60000,19.30000,21.34000,0.00000,0.00000,-0.01000,-0.03000,25.80000,3.14000,0.43000,0.00000,-16.00000,0.00000,0.00000,0.00000
0.00000,832.50000,749.60000,837.40000,1067.60000,1027.58000,1060.85000,1047.32000,2.46000,57.01000,110.20000,1068.60000,19.28000,21.33000,0.00000,0.00000,-0.00000,-0.00000,25.80000,3.18000,0.44000,0.00000,-3.33000,0.00000,0.00000,0.00000
0.00000,832.50000,749.30000,837.10000,1069.26000,1027.95000,1061.63000,1045.02000,2.46000,57.05000,110.20000,1069.30000,19.31000,21.33000,0.00000,0.00000,-0.01000,-0.00000,25.80000,3.15000,0.44000,0.00000,3.60000,0.00000,0.00000,0.00000
0.00000,831.50000,750.00000,837.80000,1071.00000,1026.97000,1061.97000,1044.03000,2.46000,56.98000,110.23000,1067.10000,19.34000,21.33000,0.00000,0.00000,-0.01000,-0.02000,25.80000,3.14000,0.45000,0.00000,-11.87000,0.00000,0.00000,0.00000
0.00000,832.50000,751.20000,839.00000,1071.89000,1027.26000,1061.61000,1044.04000,2.47000,57.01000,110.23000,1070.80000,19.34000,21.35000,0.00000,0.00000,-0.00000,-0.00000,25.80000,3.14000,0.46000,0.00000,-11.05000,0.00000,0.00000,0.00000
1.00000,833.50000,752.40000,840.20000,1070.11000,1027.79000,1061.94000,1043.63000,2.45000,57.03000,110.20000,1071.50000,19.36000,21.35000,0.00000,0.00000,-0.02000,-0.00000,25.80000,3.14000,0.45000,0.00000,12.46000,0.00000,0.00000,0.00000
