Ba_avg,Rt_avg,DCs_avg,Cm_avg,P_avg,S_avg,Cosphi_avg,Db1t_avg,Db2t_avg,Dst_avg,Gb1t_avg,Gb2t_avg,Git_avg,Gost_avg,Ya_avg,Yt_avg,Ws_avg,Wa_avg,Ot_avg,Nf_avg,Nu_avg,Rbt_avg
0.000886682,0.545713,0.656608,0.348409,0.0404628,0.0338243,0.968085,0.554626,0.590137,0.683763,0.658272,0.638655,0.722335,0.634146,0.259139,0.453801,0.186116,0.282205,0.523373,0.998004,0.959767,0.638032
0.0039014,0.545713,0.658479,0.337573,0.0330985,0.0283419,0.989362,0.519103,0.57031,0.657173,0.656054,0.636817,0.719533,0.633652,0.259139,0.454939,0.183135,0.296599,0.530247,0.998203,0.958144,0.634267
0.00106402,0.545713,0.663922,0.34983,0.0437171,0.0374467,0.968085,0.506315,0.570976,0.642756,0.660882,0.639706,0.715798,0.634641,0.259139,0.556896,0.196763,0.311993,0.536434,0.997804,0.958254,0.634267
0.00115269,0.545713,0.679322,0.35656,0.0522419,0.0457288,0.978723,0.524629,0.591803,0.654101,0.66845,0.64719,0.719689,0.637278,0.259139,0.614474,0.194634,0.281233,0.541247,0.998004,0.958818,0.635444
0.000886682,0.545713,0.659185,0.347996,0.0416088,0.0351973,0.968085,0.549574,0.614628,0.673954,0.672756,0.652048,0.722335,0.639585,0.259139,0.647246,0.196337,0.282539,0.549496,0.998203,0.959767,0.635679
8.86681e-05,0.545713,0.721896,0.381089,0.0784161,0.0709838,0.989362,0.575308,0.636788,0.694989,0.68202,0.665047,0.727782,0.644199,0.259139,0.673418,0.21891,0.267978,0.555225,0.997405,0.956274,0.63615
0.000177336,0.545713,0.682143,0.361007,0.0551335,0.0481096,0.978723,0.602937,0.657114,0.714725,0.691153,0.676339,0.733541,0.648978,0.259139,0.692308,0.204429,0.284011,0.563703,0.998203,0.957567,0.639445
0.00159603,0.545713,0.660076,0.345084,0.0396892,0.0337659,0.978723,0.62725,0.676275,0.737533,0.684629,0.661502,0.734475,0.648813,0.259139,0.704142,0.191652,0.293931,0.575848,0.998004,0.957526,0.640151
0.000798014,0.545713,0.686115,0.360445,0.0564971,0.0499209,0.978723,0.649195,0.696268,0.761286,0.683325,0.657957,0.736654,0.651121,0.259139,0.717797,0.204855,0.285512,0.583868,0.998203,0.958694,0.640151
8.86681e-05,0.546848,0.786209,0.41233,0.122723,0.115232,1,0.648721,0.694102,0.764949,0.707594,0.704175,0.750973,0.663481,0.259139,0.590806,0.242334,0.267367,0.581577,0.998004,0.960633,0.637562
8.86681e-05,0.545713,0.712519,0.376923,0.0726039,0.0651265,0.989362,0.607673,0.664112,0.73316,0.70929,0.704963,0.754086,0.66793,0.259139,0.53482,0.223169,0.264616,0.590284,0.998203,0.961939,0.634973
8.86681e-05,0.546564,0.760078,0.400728,0.105702,0.0982204,1,0.569309,0.63862,0.700898,0.706681,0.702206,0.751751,0.668754,0.259139,0.517069,0.249148,0.309909,0.59418,0.997804,0.965047,0.63309
8.86681e-05,0.55565,0.771431,0.4049,0.109996,0.102413,1,0.535838,0.616128,0.6671,0.719468,0.722033,0.760156,0.676994,0.302583,0.511379,0.243612,0.305407,0.598763,0.998203,0.965899,0.632619
8.86681e-05,0.559341,0.76677,0.40154,0.109111,0.101663,1,0.518787,0.609463,0.645119,0.724426,0.724265,0.762646,0.681608,0.307917,0.58853,0.232538,0.32572,0.605866,0.998603,0.965322,0.632855
8.86681e-05,0.560193,0.777147,0.405793,0.113927,0.1064,1,0.540575,0.628957,0.652564,0.729776,0.727153,0.768093,0.686882,0.307917,0.66568,0.245741,0.323969,0.612741,0.998004,0.964937,0.635444
8.86681e-05,0.573822,0.725738,0.381801,0.0801569,0.0727122,0.989362,0.569309,0.64895,0.671827,0.727296,0.718487,0.770584,0.68886,0.307917,0.697997,0.228705,0.32044,0.621677,0.998403,0.965954,0.639445
8.86681e-05,0.573538,0.76706,0.401277,0.107883,0.100382,1,0.596621,0.667611,0.692153,0.731472,0.724396,0.774942,0.693309,0.307917,0.724852,0.244037,0.310298,0.626719,0.998603,0.964882,0.640386
8.86681e-05,0.574106,0.752971,0.394295,0.0973758,0.0898556,1,0.625039,0.686438,0.711652,0.737604,0.732012,0.781323,0.699407,0.307917,0.748066,0.242334,0.273758,0.629927,0.998004,0.965102,0.642504
8.86681e-05,0.574106,0.716659,0.37737,0.0742625,0.0668257,0.989362,0.650931,0.704765,0.734224,0.734342,0.723083,0.784124,0.701714,0.307917,0.762858,0.228279,0.324108,0.638405,0.998004,0.964758,0.64321
8.86681e-05,0.574106,0.722283,0.380208,0.0791753,0.0717579,0.989362,0.673824,0.717594,0.75455,0.720772,0.714811,0.728872,0.694628,0.307917,0.762631,0.220613,0.310548,0.643217,0.998203,0.963672,0.646976
8.86681e-05,0.574106,0.694349,0.368149,0.061202,0.0536845,0.989362,0.689612,0.720093,0.770622,0.694154,0.691045,0.683268,0.67584,0.307917,0.708921,0.220187,0.315161,0.644592,0.998603,0.963713,0.646976
0.00301472,0.574106,0.681517,0.350395,0.0465313,0.04271,0.989362,0.665141,0.701933,0.763177,0.65488,0.662421,0.621634,0.651121,0.307917,0.591944,0.201448,0.290597,0.648029,0.998603,0.963369,0.641798
0.00283738,0.574106,0.672908,0.349495,0.0431175,0.0369404,0.989362,0.623145,0.675608,0.736587,0.625261,0.635767,0.595175,0.63085,0.301528,0.56213,0.209966,0.232716,0.648946,0.998802,0.962008,0.63968
0.00345806,0.574106,0.686485,0.352699,0.0501289,0.0445213,1,0.586359,0.652616,0.70858,0.645094,0.642463,0.717665,0.635135,0.268306,0.556213,0.204003,0.298822,0.651925,0.997804,0.962187,0.635914
0.00469941,0.583759,0.652019,0.331288,0.0268221,0.0225771,0.989362,0.55652,0.634955,0.686244,0.658925,0.641019,0.73214,0.642881,0.315,0.551206,0.186542,0.315188,0.656966,0.997804,0.960399,0.635444
0.00274871,0.602499,0.66008,0.342496,0.0361738,0.0303479,0.989362,0.531576,0.618794,0.667336,0.665318,0.644958,0.734786,0.645353,0.243167,0.550523,0.207411,0.246749,0.658112,0.998203,0.961403,0.634973
0.00212804,0.602499,0.664052,0.344668,0.0395248,0.0338535,0.989362,0.512314,0.607298,0.650674,0.667276,0.646008,0.731518,0.646341,0.27275,0.578516,0.198893,0.2662,0.658341,0.997604,0.960509,0.634267
0.497872,0.602499,0.411189,0.305613,0.0181909,0.0143681,1,0.519577,0.61896,0.647483,0.661534,0.648897,0.731206,0.648319,0.162639,0.662722,0.166525,0.941731,0.662236,0.998203,0.958942,0.636385
0.806881,0.602499,0.243915,0.285274,0.0067019,0.00171872,1,0.530313,0.633789,0.64701,0.631394,0.625656,0.683891,0.642222,0.313333,0.697542,0.162266,0.184812,0.66407,0.998403,0.959341,0.63662
0.569782,0.602499,0.334237,0.285266,0.00749491,0.000920223,1,0.535838,0.640287,0.641692,0.619128,0.614233,0.627237,0.634806,0.276722,0.711197,0.160136,0.18006,0.675069,0.997804,0.959134,0.635444
0.00904416,0.602499,0.665187,0.315058,0.0186938,0.0173625,1,0.544522,0.636121,0.623375,0.638831,0.614496,0.717821,0.635135,0.277944,0.728493,0.163969,0.328276,0.682172,0.998603,0.959368,0.635444
0.162972,0.602499,0.507404,0.305635,0.0155894,0.0127273,1,0.562362,0.646285,0.645474,0.647704,0.625131,0.724825,0.639255,0.301833,0.747155,0.173339,0.293737,0.686297,0.998403,0.958749,0.638974
0.0075368,0.602499,0.658264,0.32765,0.027441,0.0244516,0.989362,0.579413,0.659613,0.653746,0.650835,0.627889,0.724669,0.638926,0.301833,0.762631,0.186116,0.272424,0.685839,0.997804,0.958296,0.641092
0.0109949,0.602499,0.650039,0.307682,0.0109571,0.0148502,1,0.598516,0.673942,0.681872,0.658142,0.626576,0.731051,0.642551,0.286361,0.773327,0.169506,0.242275,0.698442,0.998004,0.957484,0.642975
0.00540876,0.602499,0.661329,0.331492,0.0298684,0.0287022,0.989362,0.618566,0.693435,0.71047,0.667406,0.633009,0.734475,0.645517,0.271333,0.7863,0.17845,0.288874,0.700733,0.998403,0.960166,0.646976
0.00115269,0.602499,0.683458,0.356592,0.0523773,0.0457823,0.989362,0.640669,0.713096,0.735642,0.686587,0.661371,0.738677,0.651945,0.271333,0.80223,0.204003,0.235551,0.691109,0.998403,0.960097,0.648859
0.126618,0.608177,0.553685,0.318147,0.0239934,0.0211797,1,0.663562,0.73109,0.758331,0.684108,0.658613,0.742412,0.654417,0.271333,0.810423,0.15247,0.270701,0.699817,0.998203,0.961307,0.651683
0.407874,0.630892,0.300553,0.285291,0.00836045,4.8689e-05,1,0.678876,0.749917,0.760222,0.642223,0.632353,0.735253,0.649637,0.271333,0.819982,0.144804,0.247916,0.700504,0.998004,0.959657,0.654272
0.216084,0.630324,0.47211,0.301603,0.0165468,0.0116562,1,0.68598,0.756414,0.74805,0.628653,0.614496,0.729961,0.642551,0.271333,0.837506,0.167376,0.263115,0.700504,0.997804,0.960688,0.654272
0.00177336,0.605338,0.698245,0.361153,0.0581992,0.0522433,0.989362,0.694979,0.751083,0.756204,0.67667,0.6573,0.738366,0.65178,0.271333,0.838188,0.206133,0.243359,0.692713,0.997804,0.962063,0.654978
0.00469941,0.613288,0.661039,0.33547,0.0322958,0.0285269,1,0.701295,0.751916,0.775585,0.679541,0.654412,0.745214,0.654087,0.271333,0.741693,0.200596,0.252695,0.695234,0.998004,0.961651,0.656625
0.00248271,0.630324,0.686548,0.355075,0.0512313,0.0455583,0.989362,0.666561,0.725092,0.763767,0.685804,0.664391,0.745681,0.658207,0.326472,0.652253,0.201874,0.338724,0.689505,0.998203,0.962324,0.654978
0.00381273,0.630892,0.679238,0.346981,0.0439347,0.0386153,1,0.628513,0.697767,0.737769,0.694285,0.680016,0.748794,0.661997,0.335361,0.62426,0.189523,0.343392,0.685839,0.998203,0.963493,0.654272
0.00789147,0.630892,0.650089,0.318931,0.0171996,0.0159651,1,0.597569,0.677607,0.717206,0.677323,0.650735,0.745992,0.658207,0.288556,0.610605,0.187394,0.13774,0.688588,0.997604,0.962063,0.654272
0.00602944,0.630892,0.654515,0.327873,0.0245204,0.0204543,1,0.570572,0.659613,0.697826,0.674061,0.646008,0.74428,0.657053,0.206833,0.601047,0.180153,0.29143,0.689505,0.997604,0.960702,0.654272
0.000886682,0.630892,0.707278,0.371094,0.0662067,0.0597658,0.989362,0.547679,0.643286,0.677618,0.686195,0.667279,0.746615,0.660679,0.275472,0.594447,0.220613,0.320385,0.681027,0.997405,0.960908,0.654272
0.0019507,0.630892,0.688019,0.35769,0.052769,0.0466831,1,0.528418,0.63029,0.658119,0.695329,0.682773,0.75035,0.664469,0.298778,0.591488,0.207411,0.291708,0.676902,0.998004,0.962778,0.654272
0.00177336,0.631459,0.667137,0.348219,0.0425711,0.0366872,0.978723,0.524155,0.631789,0.65091,0.691806,0.669643,0.74677,0.663975,0.298778,0.673418,0.198893,0.289402,0.673694,0.998603,0.963686,0.655684
0.00328072,0.632311,0.662922,0.340646,0.0364301,0.0312243,0.989362,0.546574,0.64995,0.664264,0.69298,0.667542,0.751751,0.665788,0.298778,0.729404,0.18356,0.309937,0.669569,0.998603,0.963988,0.65992
0.000266004,0.640545,0.670227,0.355047,0.0478901,0.040037,0.989362,0.573255,0.670776,0.685772,0.695329,0.667542,0.753307,0.667765,0.298778,0.758307,0.198893,0.285067,0.66659,0.997604,0.963438,0.662509
0.000266004,0.647927,0.679945,0.359482,0.0526675,0.0447842,0.989362,0.600884,0.690936,0.708225,0.704593,0.681066,0.756887,0.67205,0.298778,0.780382,0.201022,0.289041,0.663153,0.997804,0.964043,0.664627
0.000532009,0.658433,0.673778,0.356438,0.049302,0.0412981,1,0.627723,0.70943,0.731387,0.704071,0.678177,0.758132,0.673863,0.298778,0.795403,0.212521,0.262921,0.659258,0.997405,0.963906,0.668393
8.86681e-05,0.658149,0.68704,0.363966,0.0570145,0.0490883,0.989362,0.654247,0.725925,0.751832,0.712813,0.689601,0.762023,0.679301,0.298778,0.810651,0.207836,0.272202,0.657424,0.997604,0.963699,0.671687
0.000798014,0.659284,0.654847,0.347132,0.0390896,0.0310782,0.989362,0.675876,0.73892,0.771331,0.709682,0.684611,0.766693,0.67996,0.298778,0.7665,0.190801,0.286373,0.656508,0.999002,0.967233,0.6731
0.00159603,0.659284,0.660244,0.346867,0.0392395,0.0312145,1,0.65551,0.721093,0.767785,0.7012,0.677652,0.765759,0.680125,0.298778,0.647019,0.192078,0.30199,0.652612,0.998004,0.966284,0.67004
8.86681e-05,0.659284,0.667768,0.356837,0.0474645,0.0394138,1,0.619198,0.695268,0.744269,0.703419,0.684611,0.766226,0.681279,0.298778,0.611288,0.197189,0.300822,0.650092,0.997604,0.966559,0.667922
0.00212804,0.659284,0.651283,0.339762,0.0325714,0.0244078,1,0.587938,0.673609,0.72087,0.695851,0.676602,0.762802,0.679631,0.298778,0.592399,0.189523,0.333583,0.648946,0.997405,0.965803,0.664392
0.000709345,0.659284,0.651909,0.345957,0.037402,0.0292572,1,0.560941,0.654282,0.699126,0.691806,0.670299,0.761868,0.678642,0.298778,0.578971,0.183986,0.313605,0.644821,0.997804,0.964566,0.663686
0.000177336,0.659284,0.653053,0.348139,0.0390171,0.0309127,1,0.537891,0.637621,0.680099,0.690762,0.670299,0.761245,0.677324,0.298778,0.569868,0.184838,0.307741,0.637259,0.997604,0.966436,0.663215
8.86681e-05,0.659284,0.673232,0.360153,0.0506076,0.0425834,1,0.51784,0.622126,0.6619,0.695068,0.677521,0.761868,0.679301,0.298778,0.562813,0.194634,0.298266,0.630156,0.998004,0.964456,0.661567
8.86681e-05,0.659284,0.679352,0.361288,0.053504,0.0455486,0.989362,0.507736,0.615461,0.647483,0.700026,0.684086,0.761401,0.68029,0.298778,0.621757,0.191227,0.308464,0.628781,0.997804,0.965693,0.66298
8.86681e-05,0.659284,0.694773,0.368356,0.0617726,0.053889,1,0.527787,0.63129,0.65481,0.706159,0.6875,0.764202,0.682762,0.298778,0.695494,0.206985,0.283289,0.625344,0.997804,0.965693,0.668863
8.86681e-05,0.659284,0.728554,0.383209,0.0804808,0.0727609,1,0.558099,0.649617,0.670527,0.715814,0.704175,0.771051,0.68853,0.298778,0.735321,0.235094,0.267478,0.622365,0.998004,0.966394,0.6731
8.86681e-05,0.659284,0.69173,0.366234,0.0602301,0.0524673,0.989362,0.588412,0.667278,0.687308,0.721555,0.709821,0.774942,0.691991,0.298778,0.759672,0.21678,0.265672,0.616865,0.998603,0.961307,0.675218
8.86681e-05,0.659284,0.709829,0.374885,0.0701572,0.0623317,1,0.615093,0.684605,0.707989,0.722338,0.704438,0.776809,0.694298,0.298778,0.775148,0.230835,0.263588,0.613428,0.998603,0.956577,0.678748
8.86681e-05,0.659284,0.736355,0.386326,0.0852051,0.077474,1,0.64209,0.7006,0.725715,0.730689,0.722033,0.784124,0.701055,0.298778,0.79381,0.238927,0.266311,0.612282,0.997205,0.959203,0.681807
8.86681e-05,0.659284,0.708825,0.37412,0.0690499,0.0613044,0.989362,0.667667,0.715928,0.743914,0.728862,0.718881,0.760778,0.701549,0.298778,0.799727,0.22402,0.264644,0.609762,0.998004,0.959354,0.686044
8.86681e-05,0.659284,0.699725,0.370685,0.0641419,0.0563332,0.989362,0.685823,0.719593,0.760459,0.704332,0.694328,0.707549,0.684245,0.298778,0.777879,0.23552,0.25603,0.601512,0.998203,0.958667,0.687221
8.86681e-05,0.659001,0.707669,0.375599,0.0691853,0.0613287,1,0.693243,0.715928,0.77074,0.683977,0.678309,0.668327,0.667436,0.298778,0.68457,0.238501,0.258975,0.595555,0.998203,0.957594,0.68675
8.86681e-05,0.658717,0.770649,0.404849,0.109547,0.101867,1,0.656615,0.690936,0.749114,0.67119,0.685793,0.6593,0.651121,0.298778,0.586937,0.252129,0.26909,0.590742,0.998203,0.956645,0.681807
8.86681e-05,0.658433,0.778303,0.408678,0.114575,0.106921,1,0.612251,0.664445,0.713779,0.669102,0.690126,0.652296,0.639914,0.298778,0.560309,0.25,0.284956,0.587534,0.998603,0.958901,0.68016
8.86681e-05,0.659001,0.820869,0.429181,0.148206,0.14078,1,0.573887,0.641453,0.679627,0.676018,0.7026,0.651362,0.633158,0.298778,0.545517,0.257666,0.296099,0.585014,0.997205,0.958447,0.679925
8.86681e-05,0.656729,0.807562,0.422019,0.137239,0.129742,1,0.544048,0.624625,0.651619,0.678236,0.697873,0.667237,0.628378,0.298778,0.563496,0.257666,0.308603,0.581806,0.997804,0.959822,0.68016
8.86681e-05,0.657865,0.794204,0.414644,0.1265,0.118933,1,0.550521,0.634622,0.646537,0.710464,0.713235,0.735253,0.649967,0.298778,0.667274,0.248722,0.316744,0.580889,0.998203,0.958268,0.683455
8.86681e-05,0.658717,0.747969,0.392317,0.0951902,0.087465,1,0.578465,0.653782,0.662373,0.721686,0.714942,0.747704,0.661997,0.298778,0.714838,0.228279,0.332555,0.578598,0.997804,0.956426,0.687456
8.86681e-05,0.657581,0.723099,0.380952,0.0780003,0.0702632,1,0.603568,0.671776,0.685417,0.715292,0.698398,0.751907,0.665129,0.298778,0.734183,0.215503,0.358925,0.579743,0.998603,0.958048,0.689339
8.86681e-05,0.655877,0.700595,0.371343,0.0655345,0.0578085,0.989362,0.62646,0.690436,0.710116,0.713205,0.694065,0.754086,0.668095,0.364611,0.74761,0.199319,0.426031,0.581577,0.998203,0.957429,0.689574
8.86681e-05,0.646508,0.830851,0.433414,0.158616,0.151301,1,0.650458,0.708597,0.73186,0.73382,0.730173,0.764825,0.680455,0.399389,0.76832,0.25,0.418973,0.592576,0.997205,0.960633,0.692869
8.86681e-05,0.649631,0.802169,0.417867,0.132408,0.124912,1,0.678402,0.726425,0.749941,0.751566,0.748818,0.778833,0.693144,0.399389,0.78903,0.238501,0.423252,0.5967,0.998004,0.959602,0.696635
8.86681e-05,0.640829,0.797961,0.416681,0.129343,0.121815,1,0.7024,0.741753,0.768376,0.75548,0.749606,0.770739,0.701055,0.399389,0.764679,0.24063,0.420946,0.596471,0.998403,0.959616,0.701106
8.86681e-05,0.633163,0.801425,0.419352,0.132118,0.124586,1,0.680613,0.720926,0.760104,0.72286,0.734375,0.693697,0.681279,0.399389,0.610833,0.242334,0.41186,0.59143,0.998203,0.959464,0.696164
8.86681e-05,0.631459,0.834315,0.436723,0.161015,0.153677,1,0.632776,0.687771,0.724888,0.706811,0.727547,0.672996,0.664634,0.399389,0.564861,0.256814,0.403051,0.589138,0.998603,0.959148,0.691221
8.86681e-05,0.635718,0.823979,0.430912,0.151731,0.144339,1,0.59078,0.660113,0.689317,0.702114,0.726759,0.66677,0.654581,0.399389,0.544606,0.255537,0.400161,0.582035,0.998802,0.961692,0.688397
8.86681e-05,0.631175,0.842334,0.440193,0.167809,0.160533,1,0.555731,0.636788,0.660009,0.694415,0.718356,0.660078,0.643375,0.399389,0.535503,0.257666,0.403134,0.580889,0.998004,0.962434,0.686514
8.86681e-05,0.630892,0.839464,0.438062,0.165135,0.157874,1,0.545627,0.63129,0.644883,0.701461,0.722033,0.678288,0.642386,0.399389,0.616067,0.249148,0.41336,0.582264,0.998203,0.963479,0.687456
8.86681e-05,0.630892,0.861085,0.449625,0.185961,0.178835,1,0.568045,0.640953,0.655992,0.712422,0.729123,0.68607,0.644364,0.399389,0.663177,0.256814,0.417222,0.581347,0.998403,0.965693,0.689339
8.86681e-05,0.639977,0.930656,0.491322,0.264275,0.257662,1,0.595043,0.652283,0.675136,0.739431,0.757747,0.696965,0.655076,0.415417,0.696404,0.289182,0.435312,0.58066,0.998403,0.966491,0.691692
8.86681e-05,0.63515,0.926129,0.48717,0.257424,0.250788,1,0.624092,0.665611,0.697353,0.762787,0.779543,0.705837,0.665788,0.423778,0.715294,0.288756,0.427198,0.577452,0.999002,0.966381,0.695693
8.86681e-05,0.631743,0.912628,0.480296,0.243256,0.236536,1,0.651089,0.679107,0.716497,0.763961,0.77416,0.710506,0.669249,0.423778,0.723942,0.276405,0.43006,0.573327,0.999002,0.966353,0.699929
8.86681e-05,0.634583,0.96458,0.520294,0.31805,0.311814,1,0.676981,0.692269,0.739305,0.781054,0.793724,0.723735,0.681608,0.423778,0.73919,0.302811,0.434145,0.57264,0.997604,0.964827,0.702754
8.86681e-05,0.637706,0.981237,0.53839,0.350409,0.344465,1,0.703821,0.706431,0.765776,0.798278,0.8125,0.728093,0.693639,0.423778,0.737597,0.314736,0.431227,0.571723,0.998004,0.963961,0.70699
8.86681e-05,0.635434,0.990967,0.567874,0.39517,0.389571,1,0.690717,0.696934,0.775112,0.797886,0.816308,0.710661,0.695122,0.423778,0.597861,0.333475,0.435506,0.570807,0.998603,0.963081,0.705342
8.86681e-05,0.634583,0.995381,0.612055,0.459027,0.453913,1,0.643038,0.675941,0.759159,0.799061,0.817883,0.710039,0.696605,0.423778,0.554165,0.34753,0.437729,0.569203,0.998004,0.961004,0.702989
0.000177336,0.630892,0.99855,0.700013,0.582297,0.577915,1,0.603094,0.659447,0.748996,0.806628,0.821429,0.713463,0.702703,0.436528,0.535503,0.385434,0.473741,0.568057,0.998603,0.958694,0.701341
0.000177336,0.630892,0.998378,0.6795,0.553647,0.549057,1,0.571519,0.647451,0.745096,0.811717,0.826024,0.715486,0.707811,0.463417,0.527765,0.399063,0.443592,0.56714,0.998603,0.957622,0.701577
0.000354673,0.630892,0.998588,0.656975,0.522395,0.517565,1,0.547363,0.638454,0.73316,0.80989,0.826681,0.717665,0.709954,0.463417,0.518662,0.379046,0.453762,0.560953,0.997604,0.962297,0.702283
