Date,Open,High,Low,Close,Adj Close,Volume
9/1/93,46.40625,46.59375,46.40625,46.5,27.627848,136500
9/2/93,46.53125,46.59375,46.3125,46.34375,27.534994,472400
9/3/93,46.3125,46.4375,46.25,46.375,27.553564,630500
9/7/93,46.375,46.4375,46,46.0625,27.367901,196400
9/8/93,46.0625,46.0625,45.59375,45.90625,27.275072,269900
9/9/93,45.71875,46.03125,45.71875,46,27.330763,239200
9/10/93,46.125,46.4375,46.0625,46.40625,27.572132,106500
9/13/93,46.5625,46.5625,46.4375,46.4375,27.590691,66900
9/14/93,46.3125,46.3125,46.09375,46.25,27.47929,184500
9/15/93,46.0625,46.40625,45.90625,46.375,27.553564,101000
9/16/93,46.3125,46.34375,46.15625,46.1875,27.442165,54300
9/17/93,45.875,45.90625,45.75,45.8125,27.388964,200900
9/20/93,45.875,45.96875,45.4375,45.4375,27.164764,57800
9/21/93,45.5,45.5625,44.8125,45.28125,27.07135,318200
9/22/93,45.4375,45.71875,45.375,45.65625,27.295532,439700
9/23/93,45.78125,45.9375,45.71875,45.90625,27.445004,88500
9/24/93,45.84375,45.875,45.71875,45.78125,27.370279,53500
9/27/93,46.125,46.28125,46.125,46.28125,27.669203,274600
9/28/93,46.3125,46.3125,46.15625,46.1875,27.613165,158300
9/29/93,46.1875,46.3125,45.96875,46.03125,27.519728,221000
9/30/93,46.03125,46.125,45.84375,45.9375,27.463686,99300
10/1/93,45.875,46.21875,45.8125,46.15625,27.594477,22700
10/4/93,46.21875,46.21875,46.09375,46.21875,27.631836,1038500
10/5/93,46.3125,46.3125,46,46.15625,27.594477,436500
10/6/93,46.1875,46.375,46.125,46.125,27.575777,209200
10/7/93,46.1875,46.1875,45.96875,46,27.501047,59400
10/8/93,46.125,46.15625,45.71875,46.0625,27.538425,54400
10/11/93,46.15625,46.25,46.15625,46.15625,27.594477,467100
10/12/93,46.21875,46.25,46.1875,46.21875,27.631836,26200
10/13/93,46.25,46.25,46.15625,46.21875,27.631836,139100
10/14/93,46.40625,46.8125,46.28125,46.8125,27.986797,108100
10/15/93,47.03125,47.15625,46.90625,47.0625,28.136282,1502500
10/18/93,47.03125,47.03125,46.875,46.9375,28.061533,722400
10/19/93,46.875,46.96875,46.59375,46.59375,27.856039,880100
10/20/93,46.75,46.75,46.5625,46.65625,27.893379,230400
10/21/93,46.6875,46.6875,46.53125,46.59375,27.856039,56200
10/22/93,46.65625,46.84375,46.375,46.375,27.725245,390700
10/25/93,46.40625,46.5625,46.28125,46.5,27.799978,114500
10/26/93,46.46875,46.5,46.3125,46.46875,27.781286,186200
10/27/93,46.40625,46.53125,46.40625,46.5,27.799978,118400
10/28/93,46.5625,46.96875,46.5625,46.84375,28.005491,129600
10/29/93,46.8125,46.875,46.78125,46.84375,28.005491,80700
11/1/93,46.78125,47,46.78125,46.96875,28.080212,36400
11/2/93,46.90625,47,46.65625,46.9375,28.061533,262100
11/3/93,46.90625,46.90625,46.125,46.34375,27.706566,479100
11/4/93,46.34375,46.34375,45.8125,45.84375,27.407635,130400
11/5/93,45.71875,46.0625,45.53125,46.0625,27.538425,363200
11/8/93,46.09375,46.25,45.96875,46.125,27.575777,367600
11/9/93,46.4375,46.46875,46.125,46.15625,27.594477,246900
11/10/93,46.15625,46.5,46.03125,46.5,27.799978,46500
11/11/93,46.5,46.625,46.34375,46.375,27.725245,88900
11/12/93,46.46875,46.75,46.4375,46.59375,27.856039,108200
11/15/93,46.6875,46.6875,46.4375,46.5625,27.837347,243300
11/16/93,46.65625,46.8125,46.46875,46.78125,27.968136,492600
11/17/93,46.8125,46.8125,46.40625,46.53125,27.818653,39600
11/18/93,46.46875,46.5625,46.28125,46.40625,27.743929,240800
11/19/93,46.25,46.375,46.21875,46.3125,27.687878,106000
11/22/93,46.1875,46.21875,45.875,46.03125,27.519728,165300
11/23/93,46.28125,46.3125,46.03125,46.28125,27.669203,89700
11/24/93,46.40625,46.5,46.34375,46.46875,27.781286,77200
11/26/93,46.59375,46.59375,46.46875,46.5,27.799978,1019800
11/29/93,46.625,46.71875,46.3125,46.3125,27.687878,517500
