AltAGL,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,E1 OilP,E1 OilT,E1 RPM,FQtyL,FQtyR,GndSpd,IAS,LatAc,NormAc,OAT,Pitch,Roll,TAS,volt1,volt2,VSpd,VSpdG
#ft agl,deg F,deg F,deg F,deg F,deg F,deg F,deg F,deg F,psi,deg F,rpm,gals,gals,kt,kt,G,G,deg C,deg,deg,kt,volts,volts,fpm,fpm
0.0,117.3,119.33,120.23,131.32,1111.85,1122.97,1104.95,1061.43,66.65,85.25,1144.2,20.3,22.26,0.0,0.0,-0.0,0.0,31.5,1.82,0.49,0.0,28.0,28.0,-4.77,0.0
0.0,117.36,119.35,120.28,131.46,1117.51,1130.02,1111.14,1067.5,66.11,85.27,1133.5,20.3,22.3,0.0,0.0,-0.0,-0.02,31.5,1.8,0.51,0.0,28.0,28.0,-8.77,-7.9
0.0,118.2,120.21,121.14,132.41,1119.35,1129.08,1109.37,1067.27,64.16,85.29,1056.6,20.3,22.34,0.0,0.0,0.0,-0.0,31.2,1.87,0.53,0.0,28.0,28.0,-2.52,0.0
0.0,119.01,121.02,121.99,133.36,1115.68,1121.04,1101.09,1061.6,63.45,85.31,1012.1,20.3,22.34,0.0,0.0,0.0,0.01,31.2,1.9,0.51,0.0,28.0,28.0,-8.01,3.9
0.0,119.85,121.85,122.82,134.3,1107.33,1109.94,1092.37,1052.03,63.44,85.33,1003.6,20.3,22.38,0.0,0.0,-0.01,-0.01,31.2,1.85,0.51,0.0,28.0,28.0,12.62,3.9
0.0,120.62,122.65,123.7,135.19,1098.73,1100.16,1083.52,1043.62,63.47,85.35,1004.9,20.3,22.38,0.0,0.0,-0.02,-0.0,31.2,1.87,0.48,0.0,28.0,28.0,-15.19,7.9
0.0,121.46,123.48,124.55,136.12,1092.43,1092.44,1077.84,1036.29,63.2,85.37,998.4,20.3,22.38,0.0,0.0,-0.0,-0.01,31.2,1.89,0.47,0.0,28.0,28.0,-4.42,3.9
0.0,122.42,124.47,125.49,137.14,1089.26,1089.41,1072.63,1029.96,63.23,85.4,991.9,20.3,22.38,0.0,0.0,-0.01,0.01,31.2,1.89,0.45,0.0,28.0,27.9,0.33,3.9
0.0,123.25,125.29,126.33,138.07,1085.99,1084.86,1066.68,1024.46,63.49,85.42,1003.0,20.3,22.36,0.0,0.0,-0.0,-0.01,31.2,1.88,0.47,0.0,28.0,28.0,-3.35,7.9
0.0,124.09,126.05,127.19,138.95,1083.28,1081.4,1062.16,1019.45,63.49,85.44,1004.8,20.3,22.36,0.0,0.0,-0.0,-0.0,31.2,1.88,0.47,0.0,28.0,28.0,17.85,0.0
0.0,124.92,126.9,127.99,139.87,1081.29,1077.92,1058.88,1016.43,63.56,85.46,1004.6,20.3,22.3,0.0,0.0,-0.0,0.01,31.0,1.92,0.48,0.0,28.0,28.0,-5.41,0.0
0.0,125.79,127.71,128.85,140.77,1079.04,1073.96,1057.56,1015.12,63.37,85.49,1005.8,20.3,22.24,0.0,0.0,-0.01,0.0,31.0,1.9,0.45,0.0,28.0,28.0,-8.4,0.0
0.0,126.76,128.75,129.8,141.76,1078.16,1071.27,1056.29,1012.32,63.36,85.51,999.9,20.3,22.21,0.0,0.0,0.0,-0.01,31.0,1.9,0.48,0.0,28.0,27.9,-9.81,0.0
0.0,127.61,129.61,130.64,142.7,1076.63,1068.64,1056.19,1009.94,63.5,85.54,1005.3,20.3,22.19,0.0,0.0,0.01,0.0,31.0,1.92,0.47,0.0,28.0,27.9,8.42,3.9
0.0,128.6,130.47,131.62,143.68,1075.54,1066.71,1056.01,1008.12,63.73,85.56,1014.6,20.3,22.19,0.0,0.0,-0.01,0.0,31.0,1.91,0.47,0.0,28.0,28.0,3.31,3.9
0.0,129.34,131.22,132.35,144.47,1074.15,1065.71,1055.02,1006.45,63.56,85.58,1011.9,20.3,22.19,0.0,0.0,-0.0,0.01,31.0,1.89,0.51,0.0,28.0,28.0,2.05,-3.9
0.0,130.29,132.29,133.3,145.47,1074.57,1065.87,1055.57,1006.33,63.54,85.61,1010.9,20.27,22.15,0.0,0.0,-0.01,-0.0,31.0,1.92,0.43,0.0,27.9,27.9,3.34,0.0
0.0,131.19,133.12,134.12,146.36,1073.01,1063.8,1057.63,1007.02,63.41,85.63,1003.2,20.27,22.15,0.0,0.0,-0.01,-0.01,31.0,1.97,0.48,0.0,28.0,27.9,15.29,-3.9
0.0,132.01,133.86,134.97,147.25,1070.63,1062.52,1058.23,1007.09,63.28,85.66,1000.7,20.27,22.15,0.0,0.0,-0.0,-0.02,31.0,1.93,0.49,0.0,28.0,27.9,4.58,0.0
0.0,132.91,134.7,135.81,148.13,1069.43,1063.37,1054.65,1005.8,63.0,85.68,989.1,20.27,22.15,0.0,0.0,-0.01,-0.0,31.0,1.9,0.48,0.0,27.9,27.9,-8.75,0.0
0.0,133.87,135.87,136.78,149.12,1068.2,1062.66,1051.04,1004.01,63.23,85.72,994.0,20.25,22.15,0.0,0.0,0.01,0.01,31.0,1.92,0.46,0.0,28.0,28.0,-23.0,-3.9
0.0,134.84,136.7,137.71,150.13,1065.57,1059.8,1047.68,1002.67,63.33,85.76,1001.5,20.25,22.15,0.0,0.0,-0.01,0.0,31.0,1.91,0.47,0.0,27.9,27.9,-11.8,3.9
0.0,135.63,137.52,138.46,150.93,1064.66,1059.83,1047.1,1002.3,63.32,85.79,1001.6,20.25,22.17,0.0,0.0,-0.01,-0.0,31.0,1.9,0.44,0.0,28.0,28.0,-1.31,0.0
0.0,136.49,138.25,139.26,151.82,1063.94,1060.19,1046.36,1001.98,63.06,85.82,990.3,20.25,22.17,0.0,0.0,-0.01,0.01,31.0,1.91,0.44,0.0,28.0,28.0,-0.63,3.9
0.0,137.45,139.24,140.19,152.79,1063.87,1061.04,1045.85,1001.05,63.35,85.84,998.7,20.25,22.21,0.0,0.0,-0.0,-0.0,31.0,1.9,0.48,0.0,28.0,28.0,-6.75,0.0
0.0,138.35,140.0,141.06,153.69,1062.67,1060.83,1046.94,1000.55,63.53,85.87,1007.3,20.27,22.21,0.0,0.0,-0.0,0.01,31.0,1.91,0.48,0.0,28.0,28.0,-8.73,15.7
0.0,139.19,140.93,141.9,154.56,1061.06,1059.96,1046.56,1002.47,63.29,85.9,1001.9,20.27,22.26,0.0,0.0,-0.01,-0.01,31.0,1.9,0.48,0.0,28.0,28.0,7.56,0.0
0.0,140.07,141.78,142.73,155.42,1060.02,1060.5,1044.69,1003.6,63.13,85.92,996.2,20.27,22.26,0.0,0.0,-0.0,0.0,30.8,1.93,0.53,0.0,28.0,28.0,-5.49,3.9
0.0,141.08,142.72,143.68,156.42,1061.54,1060.55,1044.32,1003.04,63.2,85.95,994.7,20.3,22.26,0.0,0.0,0.0,0.0,30.8,1.92,0.51,0.0,28.0,28.0,5.9,3.9
0.0,141.94,143.53,144.53,157.27,1063.5,1061.29,1042.95,1002.12,63.14,85.98,993.2,20.3,22.26,0.0,0.0,-0.0,0.01,30.8,1.94,0.49,0.0,28.0,28.0,-15.1,3.9
0.0,142.8,144.42,145.38,158.16,1062.99,1061.48,1040.65,1002.37,63.07,86.01,992.7,20.3,22.26,0.0,0.0,0.0,0.01,30.8,1.96,0.54,0.0,28.0,28.0,34.68,3.9
0.0,143.67,145.22,146.21,159.02,1062.28,1060.07,1038.68,1002.75,62.97,86.04,988.2,20.3,22.24,0.0,0.0,-0.02,-0.0,30.8,1.89,0.48,0.0,28.0,28.0,39.96,0.0
0.0,144.55,146.06,147.04,159.87,1061.6,1059.55,1037.41,1002.96,62.9,86.06,983.3,20.3,22.24,0.0,0.0,-0.0,-0.02,30.8,1.87,0.54,0.0,28.0,28.0,31.78,0.0
0.0,145.5,147.01,147.99,160.85,1060.58,1059.52,1038.09,1002.68,62.88,86.09,980.9,20.3,22.24,0.0,0.0,-0.01,-0.01,30.8,1.9,0.54,0.0,28.0,28.0,37.49,0.0
0.0,146.37,147.86,148.85,161.74,1060.93,1057.65,1039.23,1001.8,63.04,86.12,988.5,20.32,22.24,0.0,0.0,-0.01,-0.02,30.8,1.9,0.55,0.0,28.0,28.0,-12.2,0.0
0.0,147.24,148.6,149.68,162.56,1061.69,1055.47,1040.69,1001.75,62.92,86.15,984.8,20.32,22.26,0.0,0.0,-0.01,0.04,30.8,1.89,0.51,0.0,27.9,27.9,-35.73,0.0
0.0,148.25,149.62,150.62,163.55,1063.55,1054.77,1042.07,1002.38,63.11,86.18,991.9,20.35,22.28,0.0,0.0,-0.0,-0.05,31.0,1.85,0.47,0.0,28.0,28.0,7.93,3.9
0.0,148.98,150.25,151.34,164.29,1063.88,1052.76,1041.75,1002.79,63.23,86.2,996.9,20.32,22.28,0.0,0.0,-0.0,0.01,31.0,1.87,0.51,0.0,28.0,28.0,-22.68,0.0
0.0,149.96,151.29,152.28,165.25,1063.1,1051.7,1041.23,1002.71,63.11,86.24,996.2,20.32,22.3,0.0,0.0,-0.01,0.01,31.0,1.89,0.53,0.0,27.9,27.9,-34.73,0.0
0.0,150.81,152.12,153.11,166.1,1062.55,1053.03,1043.32,1002.31,63.12,86.27,993.8,20.32,22.3,0.0,0.0,-0.01,-0.01,31.0,1.87,0.54,0.0,28.0,28.0,-44.62,0.0
0.0,151.7,152.93,153.96,166.91,1061.87,1053.46,1044.19,1002.11,63.14,86.29,995.3,20.32,22.3,0.0,0.0,0.0,0.03,31.0,1.96,0.52,0.0,28.0,28.0,12.26,0.0
0.0,152.45,153.6,154.67,167.67,1061.55,1054.0,1044.0,1001.86,63.18,86.33,996.9,20.32,22.26,0.0,0.0,-0.01,-0.02,31.0,1.87,0.47,0.0,28.0,28.0,3.03,0.0
0.0,153.38,154.51,155.54,168.59,1062.98,1051.15,1042.65,1004.02,63.32,86.38,1002.6,20.27,22.24,0.0,0.0,-0.0,-0.05,31.0,1.78,0.52,0.0,28.0,28.0,6.34,0.0
0.0,154.36,155.41,156.48,169.53,1062.31,1050.64,1043.4,1005.15,63.27,86.41,1001.7,20.27,22.19,0.0,0.0,-0.01,0.03,31.0,1.88,0.52,0.0,28.0,27.9,-16.97,0.0
0.0,155.24,156.24,157.32,170.37,1062.73,1051.98,1044.75,1005.27,63.07,86.44,996.2,20.27,22.19,0.0,0.0,-0.01,-0.02,31.0,1.83,0.56,0.0,28.0,28.0,5.5,0.0
0.0,156.1,156.95,158.14,171.19,1063.91,1056.48,1045.36,1007.01,63.19,86.46,996.7,20.27,22.15,0.0,0.0,-0.01,0.01,31.0,1.9,0.52,0.0,28.0,28.0,17.9,0.0
0.0,157.05,157.93,159.06,172.12,1064.87,1058.71,1045.49,1007.88,63.3,86.5,1001.0,20.25,22.19,0.0,0.0,-0.01,0.01,31.0,1.87,0.49,0.0,28.0,28.0,10.28,0.0
0.0,157.79,158.73,159.76,172.87,1065.8,1059.65,1044.31,1008.92,63.19,86.53,1001.3,20.27,22.24,0.0,0.0,0.0,-0.01,31.0,1.87,0.55,0.0,28.0,28.0,8.55,0.0
0.0,158.76,159.43,160.69,173.78,1068.47,1059.8,1043.96,1008.64,63.15,86.55,997.0,20.27,22.24,0.0,0.0,-0.01,-0.01,31.0,1.89,0.53,0.0,28.0,28.0,-2.46,3.9
0.0,159.63,160.3,161.51,174.61,1071.22,1060.19,1043.82,1005.76,63.24,86.58,999.5,20.32,22.24,0.0,0.0,-0.0,-0.02,31.2,1.87,0.55,0.0,28.0,28.0,-0.88,3.9
0.0,160.46,160.99,162.32,175.4,1072.05,1059.74,1045.31,1004.16,63.14,86.61,996.1,20.32,22.3,0.0,0.0,-0.01,0.03,31.2,1.86,0.52,0.0,28.0,28.0,7.45,3.9
0.0,161.33,161.85,163.11,176.21,1072.63,1060.62,1046.74,1003.42,63.05,86.64,994.2,20.32,22.3,0.0,0.0,-0.02,-0.03,31.2,1.79,0.52,0.0,28.0,28.0,39.54,3.9
0.0,162.18,162.64,163.91,177.02,1072.95,1060.87,1047.09,1003.62,63.09,86.67,994.2,20.4,22.32,0.0,0.0,-0.01,0.02,31.2,1.86,0.56,0.0,28.0,28.0,41.78,0.0
0.0,163.01,163.39,164.73,177.81,1072.11,1061.59,1046.39,1004.76,63.21,86.7,998.0,20.42,22.28,0.0,0.0,-0.0,0.01,31.2,1.82,0.46,0.0,28.0,28.0,3.94,0.0
0.0,163.95,164.35,165.64,178.75,1071.12,1062.56,1046.15,1005.25,63.39,86.74,1008.0,20.42,22.24,0.0,0.0,0.01,0.04,31.2,1.85,0.51,0.0,28.0,28.0,-35.25,0.0
0.0,164.83,164.97,166.48,179.55,1070.05,1062.56,1047.41,1005.03,63.34,86.76,1007.4,20.42,22.24,0.0,0.0,-0.01,-0.03,31.2,1.83,0.55,0.0,28.0,28.0,-6.62,0.0
0.0,165.65,165.8,167.26,180.37,1071.91,1061.92,1048.56,1004.53,63.28,86.8,1007.1,20.42,22.24,0.0,0.0,-0.01,0.01,31.2,1.87,0.44,0.0,27.9,27.9,-12.54,0.0
