Date,Open,High,Low,Close,Adj Close,Volume
41649,0.02872652,0.026913682,0.043095925,0.028451281,0.021469049,0.015248361
41652,0.027774856,0.026948616,0.042816754,0.027610363,0.02083441,0.024870884
41653,0.028585528,0.026634053,0.043724045,0.028381215,0.021416085,0.018142971
41654,0.028761775,0.02792729,0.044387067,0.02866153,0.021627676,0.017555331
41655,0.028585528,0.027298138,0.043409998,0.028100901,0.021204627,0.020917457
41656,0.029008505,0.027577767,0.043933409,0.029572513,0.022314961,0.03859757
41660,0.029748694,0.027333099,0.037791822,0.025963547,0.019591825,0.047428809
41661,0.026435443,0.02541071,0.041002201,0.026979668,0.02035853,0.022496033
41662,0.025554262,0.022789249,0.03705902,0.021443572,0.016181113,0.023982769
41663,0.019844223,0.018629856,0.030777821,0.013980372,0.010549469,0.028248317
41666,0.013429223,0.012163591,0.028125756,0.011632796,0.008778014,0.021862806
41667,0.014416142,0.011604333,0.027916392,0.012193398,0.00920101,0.02042931
41668,0.010503695,0.008493535,0.023519553,0.007988784,0.006028317,0.030098085
41669,0.011032409,0.008738203,0.025194548,0.010091091,0.00761469,0.015838996
41670,0.008882324,0.007200271,0.022193534,0.006482125,0.004891422,0.033537743
41673,0.007965888,0.005242922,0.016819625,0.000560603,0.000423075,0.039363565
41674,0.001550888,0,0.015005045,0,0,0.031017479
41675,0,0.001363158,0.016365993,0.00231253,0.001745105,0.028458283
41676,0.004018185,0.005173028,0.02009981,0.0074632,0.005631724,0.026363942
41677,0.008565085,0.009646984,0.023798723,0.011983176,0.009042409,0.024358113
41680,0.013217722,0.01328208,0.027951295,0.015592141,0.011765624,0.019849656
41681,0.016213733,0.019888159,0.031964255,0.02224947,0.016789217,0.031416449
41682,0.022769725,0.019958053,0.035453804,0.02032234,0.015334989,0.018571555
41683,0.019421247,0.018664816,0.03461632,0.020812877,0.01570518,0.012681512
41684,0.021536077,0.019818239,0.035732974,0.021513664,0.016234024,0.011214408
41688,0.022135274,0.019468716,0.035942339,0.019446376,0.014674027,0.016010696
41689,0.019949961,0.019119193,0.034127785,0.017589337,0.013272737,0.018562571
41690,0.01832859,0.019049299,0.033220495,0.020182182,0.015229168,0.020115525
41691,0.018927787,0.017371552,0.033709029,0.017168865,0.014696643,0.017524718
41694,0.017482637,0.01670744,0.032487693,0.015732299,0.01360482,0.020936091
41695,0.017976096,0.016043355,0.030952309,0.015732299,0.01360482,0.01420352
41696,0.016284243,0.014889906,0.031336135,0.015732299,0.01360482,0.014039473
41697,0.01646049,0.014470462,0.031266356,0.016608262,0.014270575,0.016389368
41698,0.017376899,0.01873471,0.032348107,0.019271199,0.016294456,0.025052234
41701,0.016354725,0.016427838,0.031545526,0.017309023,0.0148031,0.017941323
41702,0.021077872,0.021600839,0.036500679,0.023545879,0.019543284,0.022232493
41703,0.023897636,0.021041608,0.036954311,0.020917988,0.017546044,0.015731184
41704,0.023615679,0.022264951,0.038489721,0.021969155,0.018344898,0.018645426
41705,0.024250131,0.02167076,0.038036089,0.023475814,0.019490082,0.015563145
41708,0.023545169,0.021705694,0.038385039,0.023931305,0.019836174,0.009194936
41709,0.025448524,0.022614474,0.039431888,0.024071463,0.019942631,0.012386028
41710,0.022311521,0.022160097,0.037896504,0.024456889,0.02023568,0.013443181
41711,0.025941984,0.02418734,0.039048062,0.022354581,0.018637841,0.018449436
41712,0.022522996,0.021530946,0.037233481,0.021688841,0.018131904,0.017379305
41715,0.023862409,0.024117446,0.039745961,0.025613167,0.021114429,0.012503822
41716,0.026118231,0.024327155,0.040792836,0.025648213,0.021141123,0.012568044
41717,0.026082976,0.024746598,0.038838671,0.024421843,0.020209013,0.012720111
41718,0.024778818,0.024152407,0.038978256,0.026278908,0.021620472,0.012020667
41719,0.029184725,0.030234189,0.042188634,0.032620876,0.026440446,0.072785843
41722,0.031052852,0.028486548,0.04449175,0.030063051,0.024496382,0.039361901
41723,0.032462721,0.036420825,0.048539613,0.037701454,0.030301721,0.040104604
41724,0.038842493,0.039112206,0.053250525,0.036545203,0.029422919,0.030281099
41725,0.03732686,0.036420825,0.050493778,0.037351074,0.030035419,0.021894084
41726,0.038842493,0.038238386,0.052936452,0.037911704,0.030461513,0.022298045
41729,0.040569601,0.039566583,0.055204664,0.040679752,0.032565237,0.018071096
41730,0.041662258,0.039846212,0.05436718,0.039663631,0.031793051,0.016483204
41731,0.040604856,0.038832577,0.05436718,0.040679752,0.032565237,0.019568148
41732,0.040463864,0.038657803,0.054925494,0.040784863,0.032645159,0.011168156
41733,0.042754941,0.042292898,0.057682241,0.041345466,0.03307128,0.027268362
41736,0.041944242,0.042223004,0.055972369,0.039488427,0.031659741,0.030926971
41737,0.040675339,0.040020987,0.054820811,0.040084076,0.032112449,0.024912811
41738,0.04204998,0.040964701,0.055797881,0.043202505,0.034482607,0.022648433
41739,0.043600868,0.040720032,0.051401042,0.034758229,0.028064794,0.025132427
41740,0.034225084,0.034673184,0.049760976,0.035914508,0.028943623,0.021947657
41743,0.038031794,0.035232442,0.050458875,0.036860537,0.02966258,0.021636534
41744,0.042155717,0.041698707,0.056740074,0.044078468,0.035148389,0.039544915
41745,0.04610342,0.043446348,0.056809853,0.042501744,0.033950003,0.030590226
41746,0.043001671,0.043236639,0.058973383,0.043237551,0.034509248,0.023421083
41750,0.044129582,0.044914359,0.058903577,0.046881562,0.0372787,0.016359753
41751,0.047619053,0.047081443,0.062637394,0.047512257,0.037757996,0.01937615
41752,0.04846498,0.046417331,0.063265514,0.047652415,0.037864586,0.012515136
41753,0.04846498,0.045753246,0.061974398,0.046741405,0.03717211,0.013426544
41754,0.047513315,0.045368763,0.06145096,0.046145756,0.036719482,0.012581354
41757,0.049592891,0.049702904,0.063963439,0.051576714,0.040847112,0.02222118
41758,0.053364346,0.051380651,0.066894648,0.050490528,0.040021618,0.018954553
41759,0.050579809,0.050297096,0.065987357,0.051401538,0.040713961,0.021291803
41760,0.05033308,0.048060118,0.063300417,0.048738601,0.03869016,0.014892649
41761,0.04821825,0.04578818,0.059636379,0.044463894,0.035441226,0.022059129
41764,0.045116501,0.045054174,0.06019472,0.046881562,0.0372787,0.011058348
41765,0.047689535,0.044529876,0.061834812,0.045164681,0.035973936,0.012248602
41766,0.047090338,0.048130039,0.061276472,0.050070083,0.039702034,0.021981265
41767,0.049980613,0.048269826,0.064800924,0.04863349,0.038610184,0.011822679
41768,0.050650319,0.048829084,0.064975412,0.050070083,0.039702034,0.011901874
41771,0.051989705,0.048794124,0.065010288,0.048703555,0.038663493,0.017710393
41772,0.050791311,0.049667944,0.06574309,0.050455482,0.039994897,0.01353735
41773,0.050967531,0.048304787,0.066231625,0.049929925,0.039595444,0.00689562
41774,0.049874875,0.047396006,0.064975412,0.04929923,0.039116201,0.016280558
41775,0.049628145,0.047570781,0.064033219,0.048913804,0.038823258,0.014647744
41778,0.048394497,0.047710595,0.063998316,0.049124027,0.038983023,0.016245952
41779,0.050474072,0.04788537,0.063405099,0.047757526,0.037944456,0.011059013
41780,0.049733883,0.048654309,0.065394141,0.050875954,0.040314481,0.010606803
41781,0.0496634,0.047990224,0.063823854,0.050245259,0.041708887,0.010015836
41782,0.051284771,0.048514522,0.065882675,0.050315352,0.041762565,0.010517626
41786,0.051496246,0.049213567,0.06448685,0.049719676,0.041306679,0.00801766
41787,0.049980613,0.047710595,0.063963439,0.04793273,0.0399391,0.007446325
41788,0.049592891,0.047256218,0.064068121,0.049544499,0.041172575,0.005225205
41789,0.05008635,0.049842719,0.065463947,0.051997187,0.043049719,0.0128409
41792,0.053047134,0.052359325,0.067069136,0.05448492,0.044953636,0.012413314
41793,0.054351292,0.053547708,0.069965441,0.055501041,0.045731198,0.015194788
41794,0.055479203,0.053932192,0.070314417,0.056271893,0.046321189,0.011625357
41795,0.057417786,0.05620413,0.071989386,0.058163978,0.047769247,0.008704793
41796,0.059074412,0.056099275,0.07345499,0.05802382,0.047661863,0.008349081
41799,0.05843996,0.055749753,0.072896676,0.058163978,0.047769247,0.005436835
41800,0.059849855,0.058860551,0.073210723,0.06124736,0.050128944,0.012235957
41801,0.061048249,0.058965405,0.074466963,0.058514358,0.048037297,0.012796312
41802,0.058827682,0.055679832,0.072303459,0.05574631,0.045918876,0.012697151
41803,0.056466122,0.053722483,0.071116999,0.05574631,0.045918876,0.007276288
41806,0.05650135,0.054561343,0.069965441,0.055465995,0.045704425,0.011748143
41807,0.055126709,0.05214959,0.068360252,0.053644002,0.044309967,0.009049857
41808,0.054351292,0.054351635,0.070035247,0.056727385,0.04666977,0.011080975
41809,0.0579465,0.05798673,0.073350308,0.060231239,0.049351276,0.011202429
41810,0.063022114,0.063614136,0.077747147,0.065346863,0.053266284,0.034422531
41813,0.064925469,0.062355832,0.07903829,0.063524871,0.051871984,0.013138048
41814,0.063938524,0.062740315,0.079422143,0.062964241,0.051442845,0.012644909
41815,0.062528655,0.064977293,0.078305488,0.067063771,0.054580369,0.014295692
41816,0.068203438,0.065326816,0.081097111,0.066678345,0.054285414,0.00995594
41817,0.066899307,0.063998592,0.079073166,0.064365788,0.052515495,0.01446839
41820,0.067428021,0.06543167,0.079317433,0.063069379,0.051523482,0.015848646
41821,0.065771396,0.06543167,0.080957526,0.067449197,0.054875325,0.010030144
41822,0.067709979,0.065326816,0.082039304,0.067414151,0.054848472,0.005490408
41823,0.068309203,0.06630549,0.081376281,0.065872447,0.053668544,0.006935218
41827,0.06672306,0.068018171,0.081934595,0.069551505,0.056484234,0.016304849
41828,0.069507597,0.06630549,0.082806982,0.066923614,0.054473038,0.013820855
41829,0.068767407,0.066165676,0.083504908,0.068044846,0.055331158,0.011999038
41830,0.065524666,0.06543167,0.079317433,0.067203929,0.054687489,0.009450823
41831,0.068203438,0.06546663,0.080503894,0.064751215,0.052810503,0.011134215
41834,0.066582068,0.063649069,0.081376281,0.06573229,0.053561319,0.018866707
41835,0.066053381,0.063579175,0.073210723,0.058374201,0.047930098,0.040278966
41836,0.060061331,0.057287658,0.070349294,0.054660123,0.045087608,0.032715845
