AltAGL,E1 CHT1,E1 CHT2,E1 CHT3,E1 CHT4,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,E1 OilP,E1 OilT,E1 RPM,FQtyL,FQtyR,GndSpd,IAS,LatAc,NormAc,OAT,Pitch,Roll,TAS,volt1,volt2,VSpd,VSpdG
#ft agl,deg F,deg F,deg F,deg F,deg F,deg F,deg F,deg F,psi,deg F,rpm,gals,gals,kt,kt,G,G,deg C,deg,deg,kt,volts,volts,fpm,fpm
4.0,96.29,91.6,106.1,93.64,1036.99,1055.3,1039.12,1038.32,57.05,97.25,960.7,21.68,20.95,0.0,0.0,-0.03,-0.01,17.0,2.2,0.47,0.0,28.0,28.0,12.53,0.0
4.0,97.25,92.39,107.0,94.41,1033.93,1054.17,1037.52,1036.22,57.01,97.22,959.0,21.62,20.95,0.0,0.0,-0.02,0.01,17.0,2.23,0.45,0.0,28.0,28.0,-12.67,0.0
5.0,98.23,93.17,107.84,95.28,1032.94,1053.69,1035.37,1034.49,57.02,97.19,960.9,21.68,20.95,0.0,0.0,-0.01,0.01,17.0,2.2,0.53,0.0,28.0,28.0,-15.89,0.0
5.0,99.18,93.94,108.69,96.15,1032.79,1053.7,1034.78,1032.97,57.09,97.16,962.2,21.68,20.95,0.0,0.0,-0.02,0.01,17.0,2.21,0.47,0.0,28.0,28.0,-16.13,0.0
6.0,100.26,94.85,109.67,96.95,1032.72,1053.56,1034.8,1031.15,57.11,97.12,964.1,21.68,20.95,0.0,0.0,-0.01,-0.03,17.0,2.18,0.45,0.0,28.0,28.0,-28.17,0.0
7.0,101.24,95.64,110.51,97.92,1032.59,1054.3,1033.26,1028.92,57.2,97.09,968.4,21.68,20.95,0.0,0.0,-0.01,0.01,17.0,2.22,0.47,0.0,28.0,28.0,-7.73,0.0
6.0,102.21,96.48,111.35,98.62,1031.26,1054.45,1031.07,1027.02,57.2,97.06,971.1,21.68,20.95,0.0,0.0,-0.01,0.0,17.0,2.21,0.46,0.0,28.0,28.0,-0.32,0.0
7.0,103.16,97.28,112.24,99.43,1029.27,1054.98,1029.4,1027.28,57.19,97.03,970.7,21.62,20.95,0.0,0.0,-0.0,0.01,17.0,2.22,0.46,0.0,28.0,28.0,13.82,0.0
7.0,104.15,98.07,113.07,100.3,1027.25,1054.79,1029.34,1027.82,57.18,97.0,971.3,21.62,20.95,0.0,0.0,0.0,-0.01,17.0,2.21,0.49,0.0,28.0,28.0,15.93,-11.8
7.0,105.1,98.89,113.9,101.14,1025.96,1053.44,1031.14,1028.32,57.16,96.97,970.2,21.62,20.95,0.0,0.0,-0.01,0.01,17.0,2.21,0.48,0.0,28.0,28.0,3.43,0.0
7.0,106.08,99.77,114.72,101.96,1024.47,1052.75,1031.68,1029.11,57.2,96.93,970.6,21.62,20.95,0.0,0.0,-0.01,-0.0,17.0,2.21,0.47,0.0,28.0,28.0,0.13,0.0
9.0,107.09,100.5,115.59,102.82,1023.96,1052.98,1032.28,1029.97,57.15,96.91,968.8,21.62,20.93,0.0,0.0,-0.0,-0.0,17.0,2.2,0.48,0.0,28.0,28.0,8.1,-3.9
8.0,108.09,101.41,116.53,103.84,1024.92,1054.02,1033.05,1031.08,57.15,96.88,967.7,21.62,20.93,0.0,0.0,-0.01,0.0,17.0,2.21,0.43,0.0,28.0,28.0,28.34,0.0
8.0,109.0,102.1,117.25,104.51,1025.83,1054.07,1033.34,1031.69,57.13,96.84,968.4,21.62,20.93,0.0,0.0,-0.01,0.01,17.0,2.23,0.44,0.0,28.0,28.0,16.9,-3.9
7.0,110.06,103.09,118.22,105.55,1026.75,1054.6,1032.43,1032.85,57.21,96.81,971.7,21.62,20.93,0.0,0.0,-0.01,-0.01,17.0,2.22,0.45,0.0,28.0,28.0,1.61,-3.9
7.0,111.01,103.84,119.06,106.34,1026.68,1055.57,1032.7,1032.11,57.14,96.78,968.5,21.68,20.93,0.0,0.0,-0.01,0.01,17.0,2.23,0.43,0.0,28.0,28.0,-13.41,-3.9
6.0,111.95,104.66,119.87,107.18,1027.22,1056.31,1032.91,1032.65,57.2,96.75,971.3,21.68,20.93,0.0,0.0,-0.01,-0.01,17.0,2.22,0.4,0.0,28.0,28.0,-13.43,0.0
5.0,112.89,105.48,120.76,108.03,1026.34,1055.48,1033.46,1032.61,57.1,96.72,968.5,21.68,20.93,0.0,0.0,-0.01,0.01,17.0,2.23,0.41,0.0,28.0,28.0,-0.82,-3.9
4.0,113.86,106.27,121.58,108.91,1026.16,1056.17,1034.23,1032.57,57.07,96.69,966.5,21.62,20.93,0.0,0.0,-0.01,-0.02,17.0,2.21,0.46,0.0,28.0,28.0,-7.08,-3.9
4.0,114.89,107.2,122.5,109.92,1026.25,1057.04,1035.31,1033.75,57.09,96.66,965.6,21.62,20.93,0.0,0.0,-0.02,-0.0,17.0,2.2,0.43,0.0,28.0,28.0,-8.52,-3.9
3.0,115.74,108.02,123.32,110.65,1026.23,1056.5,1034.82,1035.17,57.11,96.63,967.8,21.62,20.93,0.0,0.0,-0.01,0.01,17.0,2.21,0.46,0.0,28.0,28.0,13.73,-3.9
3.0,116.77,108.91,124.22,111.65,1029.97,1054.73,1034.31,1038.29,57.02,96.6,961.2,21.62,20.93,0.0,0.0,-0.01,0.0,17.0,2.21,0.46,0.0,28.0,28.0,25.85,0.0
4.0,118.54,110.42,125.76,113.25,1032.8,1049.85,1032.52,1041.94,57.14,96.54,967.9,21.62,20.95,0.0,0.0,-0.01,0.01,17.0,2.23,0.46,0.0,28.0,28.0,24.93,0.0
4.0,119.48,111.23,126.59,114.22,1032.87,1050.3,1031.76,1042.9,57.13,96.51,968.7,21.55,20.97,0.0,0.0,-0.01,0.01,17.0,2.22,0.47,0.0,28.0,28.0,0.48,0.0
4.0,120.42,112.05,127.42,115.18,1033.78,1051.39,1032.49,1043.03,57.24,96.48,974.5,21.62,21.0,0.0,0.0,-0.01,-0.01,17.0,2.2,0.46,0.0,28.0,28.0,-15.07,0.0
